"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"52296","736.9071392","pp","era (pp) 83332.Rv1709","false","pp","era (pp) 83332.Rv1709",,,,,,,"0.045","0.894","0.894"
"52297","1672.36915651","pp","era (pp) 83332.Rv2841c","false","pp","era (pp) 83332.Rv2841c","0.085",,,,,,"0.043","0.912","0.908"
"52298","2614.9706495","pp","Rv1277 (pp) 83332.Rv2737c","false","pp","Rv1277 (pp) 83332.Rv2737c","0.304",,"0.604","0.296",,,"0.182","0.924","0.597"
"52299","232.54135121","pp","Rv1277 (pp) 83332.Rv1329c","false","pp","Rv1277 (pp) 83332.Rv1329c","0.189",,"0.805","0.238",,,,"0.875","0.09"
"52300","118.38703844","pp","Rv1277 (pp) 83332.Rv2529","false","pp","Rv1277 (pp) 83332.Rv2529","0.082",,"0.803","0.237",,,"0.061","0.875","0.185"
"52301","9.98571429","pp","Rv1277 (pp) Rv1278","false","pp","Rv1277 (pp) Rv1278","0.693","0.783","0.918","0.994",,,"0.873","0.999","0.566"
"52302","459.61400156","pp","topA (pp) 83332.Rv1277","false","pp","topA (pp) 83332.Rv1277","0.08",,"0.8","0.2",,,"0.345","0.954","0.597"
"52303","277.94036584","pp","Rv1251c (pp) Rv1277","false","pp","Rv1251c (pp) Rv1277","0.207",,"0.507","0.244",,,"0.355","0.808","0.151"
"52304","76.20705162","pp","Rv1277 (pp) 83332.Rv3649","false","pp","Rv1277 (pp) 83332.Rv3649","0.08",,"0.512","0.479",,,"0.116","0.826","0.29"
"52305","1112.25249808","pp","Rv1277 (pp) 83332.Rv1629","false","pp","Rv1277 (pp) 83332.Rv1629","0.325",,"0.918","0.398",,,"0.068","0.985","0.597"
"52306","441.07715553","pp","ctaF (pp) ctaC","false","pp","ctaF (pp) ctaC","0.071","0.437",,"0.476",,,"0.874","0.984","0.61"
"52307","1638.73806348","pp","ctaF (pp) 83332.Rv2194","false","pp","ctaF (pp) 83332.Rv2194","0.085","0.773",,"0.994",,,"0.088","0.998","0.112"
"52308","1566.09604083","pp","qcrA (pp) ctaF","false","pp","qcrA (pp) ctaF","0.07","0.73",,"0.476",,,"0.088","0.886","0.203"
"52309","535.14052283","pp","ctaF (pp) 83332.Rv3043c","false","pp","ctaF (pp) 83332.Rv3043c","0.072","0.204",,"0.476",,,"0.249","0.887","0.673"
"52310","632.82128539","pp","accD4 (pp) 83332.Rv2501c","false","pp","accD4 (pp) 83332.Rv2501c","0.4",,"0.453","0.305","0.098",,"0.068","0.969","0.871"
"52311","772.17264269","pp","accD4 (pp) 83332.Rv0904c","false","pp","accD4 (pp) 83332.Rv0904c","0.083",,"0.798",,,,"0.068","0.876","0.372"
"52312","33.68273048","pp","accD4 (pp) fadD32","false","pp","accD4 (pp) fadD32","0.085",,"0.152",,,,"0.862","0.99","0.921"
"52313","585.67946216","pp","accD4 (pp) 83332.Rv0973c","false","pp","accD4 (pp) 83332.Rv0973c","0.4",,"0.453","0.305","0.079",,"0.068","0.923","0.681"
"52314","572.33183796","pp","accD4 (pp) 83332.Rv3285","false","pp","accD4 (pp) 83332.Rv3285","0.4",,"0.453","0.305","0.167",,"0.068","0.996","0.986"
"52315","580.94572595","pp","accD4 (pp) 83332.Rv3800c","false","pp","accD4 (pp) 83332.Rv3800c","0.085",,"0.355",,,,"0.879","0.992","0.907"
"52316","1730.25604818","pp","accD4 (pp) 83332.Rv2524c","false","pp","accD4 (pp) 83332.Rv2524c","0.214",,"0.952",,,,"0.352","0.981","0.32"
"52317","720.90659195","pp","purB (pp) 83332.Rv1659","false","pp","purB (pp) 83332.Rv1659","0.085",,"0.945",,,,"0.143","0.976","0.514"
"52318","538.28864061","pp","purB (pp) 83332.Rv1240","false","pp","purB (pp) 83332.Rv1240","0.119",,"0.945","0.334",,,"0.064","0.969","0.154"
"52319","611.50015496","pp","purB (pp) 83332.Rv2852c","false","pp","purB (pp) 83332.Rv2852c","0.07",,"0.945",,,,"0.061","0.947",
"52320","2926.8697661","pp","purB (pp) 83332.Rv0805","false","pp","purB (pp) 83332.Rv0805","0.074",,"0.874",,,,"0.069","0.881",
"52321","761.90267184","pp","purB (pp) 83332.Rv0803","false","pp","purB (pp) 83332.Rv0803","0.656","0.191",,"0.193",,,"0.249","0.913","0.566"
"52322","807.15250279","pp","purB (pp) 83332.Rv2584c","false","pp","purB (pp) 83332.Rv2584c","0.323",,"0.945","0.274",,,"0.086","0.989","0.638"
"52323","1118.77256363","pp","purB (pp) 83332.Rv1131","false","pp","purB (pp) 83332.Rv1131","0.094",,"0.945",,,,"0.044","0.948",
"52324","1579.94167384","pp","purB (pp) 83332.Rv0500","false","pp","purB (pp) 83332.Rv0500","0.207",,,,,,"0.151","0.803","0.732"
"52325","1258.27153971","pp","purB (pp) 83332.Rv0733","false","pp","purB (pp) 83332.Rv0733","0.231",,"0.994",,,,"0.068","0.996","0.32"
"52326","787.24730224","pp","purB (pp) 83332.Rv2967c","false","pp","purB (pp) 83332.Rv2967c","0.071",,"0.945",,,,,"0.951","0.131"
"52327","647.17611962","pp","purB (pp) 83332.Rv3275c","false","pp","purB (pp) 83332.Rv3275c","0.205",,"0.297",,,,"0.218","0.785","0.567"
"52328","249.66171203","pp","purB (pp) purF","false","pp","purB (pp) purF","0.791","0.162",,"0.201",,,"0.206","0.951","0.628"
"52329","1568.4536163","pp","purB (pp) 83332.Rv3396c","false","pp","purB (pp) 83332.Rv3396c","0.809","0.152","0.193",,,,"0.355","0.989","0.896"
"52330","794.07249662","pp","purB (pp) 83332.Rv3624c","false","pp","purB (pp) 83332.Rv3624c","0.07",,"0.442",,,,"0.163","0.8","0.595"
"52331","3101.49342759","pp","purB (pp) 83332.Rv1248c","false","pp","purB (pp) 83332.Rv1248c","0.096",,"0.837",,,,"0.172","0.889","0.199"
"52332","853.51164758","pp","purB (pp) 83332.Rv0896","false","pp","purB (pp) 83332.Rv0896","0.094",,"0.945",,,,"0.044","0.948",
"52333","177.78941939","pp","purB (pp) 83332.Rv0957","false","pp","purB (pp) 83332.Rv0957","0.802",,"0.945","0.454",,,"0.163","0.998","0.742"
"52334","1210.69268744","pp","purB (pp) 83332.Rv2454c","false","pp","purB (pp) 83332.Rv2454c",,,"0.945",,,,"0.119","0.949",
"52335","477.39959992","pp","purB (pp) guaB1","false","pp","purB (pp) guaB1","0.393",,"0.193",,,,"0.225","0.897","0.763"
"52336","284.23802092","pp","purB (pp) 83332.Rv0066c","false","pp","purB (pp) 83332.Rv0066c","0.07",,"0.945",,,,"0.149","0.952",
"52337","386.6153662","pp","purB (pp) 83332.Rv3411c","false","pp","purB (pp) 83332.Rv3411c","0.393",,"0.193",,,,"0.225","0.922","0.819"
"52338","2702.05515498","pp","purB (pp) 83332.Rv1602","false","pp","purB (pp) 83332.Rv1602","0.07",,"0.945",,,,"0.117","0.953","0.098"
"52339","4502.75078224","pp","purB (pp) 83332.Rv2455c","false","pp","purB (pp) 83332.Rv2455c",,,"0.952",,,,"0.348","0.967",
"52340","793.82051468","pp","purB (pp) 83332.Rv0889c","false","pp","purB (pp) 83332.Rv0889c","0.094",,"0.945",,,,"0.044","0.948",
"52341","367.34768271","pp","purB (pp) 83332.Rv3339c","false","pp","purB (pp) 83332.Rv3339c","0.078",,"0.883",,,,"0.163","0.901",
"52342","450.16139631","pp","purB (pp) 83332.Rv3276c","false","pp","purB (pp) 83332.Rv3276c","0.216",,,,,,"0.163","0.827","0.758"
"52343","579.43969181","pp","purB (pp) purQ","false","pp","purB (pp) purQ","0.236","0.208",,,,,"0.249","0.804","0.62"
"52344","674.53548557","pp","amiC (pp) 83332.Rv2922A","false","pp","amiC (pp) 83332.Rv2922A",,,"0.945",,,,"0.068","0.946",
"52345","992.73817751","pp","amiC (pp) 83332.Rv3306c","false","pp","amiC (pp) 83332.Rv3306c","0.071",,,,,,"0.068","0.872","0.865"
"52346","4108.67901081","pp","amiC (pp) 83332.Rv2889c","false","pp","amiC (pp) 83332.Rv2889c","0.102",,,,,,"0.85","0.869","0.109"
"52347","15132.42715183","pp","amiC (pp) 83332.Rv3717","false","pp","amiC (pp) 83332.Rv3717","0.066",,,,,,"0.068","0.876","0.869"
"52348","6753.51850121","pp","amiC (pp) 83332.Rv2890c","false","pp","amiC (pp) 83332.Rv2890c","0.085",,,,,,"0.842","0.849",
"52349","2269.44524082","pp","amiC (pp) 83332.Rv0223c","false","pp","amiC (pp) 83332.Rv0223c","0.092",,"0.945",,,,"0.067","0.95","0.054"
"52350","2316.44608356","pp","amiC (pp) 83332.Rv0147","false","pp","amiC (pp) 83332.Rv0147","0.092",,"0.945",,,,"0.067","0.95","0.054"
"52351","1492.8906024","pp","amiC (pp) 83332.Rv3551","false","pp","amiC (pp) 83332.Rv3551",,,"0.945",,,,"0.045","0.945",
"52352","2362.40393452","pp","amiC (pp) 83332.Rv0768","false","pp","amiC (pp) 83332.Rv0768","0.092",,"0.945",,,,"0.067","0.95","0.054"
"52353","2614.73479106","pp","amiC (pp) 83332.Rv3293","false","pp","amiC (pp) 83332.Rv3293","0.092",,"0.945",,,,"0.067","0.95","0.054"
"52354","3548.26783816","pp","amiC (pp) 83332.Rv2858c","false","pp","amiC (pp) 83332.Rv2858c","0.092",,"0.934",,,,"0.067","0.94","0.054"
"52355","648.9794798","pp","aspC (pp) 83332.Rv3316","false","pp","aspC (pp) 83332.Rv3316","0.118",,"0.945",,,,,"0.949",
"52356","585.62724499","pp","aspC (pp) ilvE","false","pp","aspC (pp) ilvE","0.074",,"0.945",,,,"0.068","0.983","0.695"
"52357","1465.87725759","pp","aspC (pp) 83332.Rv0428c","false","pp","aspC (pp) 83332.Rv0428c","0.07",,"0.945",,,,"0.042","0.947","0.055"
"52358","1048.25031874","pp","aspC (pp) 83332.Rv2454c","false","pp","aspC (pp) 83332.Rv2454c","0.067",,"0.945",,,,"0.067","0.954","0.159"
"52359","3753.40582675","pp","aspC (pp) 83332.Rv3859c","false","pp","aspC (pp) 83332.Rv3859c","0.075",,"0.952","0.044",,,"0.344","0.986","0.597"
"52360","883.24682965","pp","aspC (pp) 83332.Rv3709c","false","pp","aspC (pp) 83332.Rv3709c","0.077",,"0.932","0.191","0.054",,"0.072","0.957","0.228"
"52361","784.94114307","pp","aspC (pp) 83332.Rv1098c","false","pp","aspC (pp) 83332.Rv1098c","0.073",,"0.945","0.26",,,"0.06","0.962","0.109"
"52362","463.98468786","pp","aspC (pp) 83332.Rv3318","false","pp","aspC (pp) 83332.Rv3318","0.209",,"0.945",,,,,"0.957","0.103"
"52363","624.24779936","pp","aspC (pp) 83332.Rv2476c","false","pp","aspC (pp) 83332.Rv2476c","0.07",,"0.945",,,,,"0.949","0.095"
"52364","3873.26577151","pp","aspC (pp) 83332.Rv2780","false","pp","aspC (pp) 83332.Rv2780",,,"0.945",,,,,"0.948","0.102"
"52365","3803.38512561","pp","aspC (pp) 83332.Rv2455c","false","pp","aspC (pp) 83332.Rv2455c","0.096",,"0.945",,,,"0.088","0.964","0.309"
"52366","244.27529522","pp","aspC (pp) 83332.Rv0338c","false","pp","aspC (pp) 83332.Rv0338c","0.077",,"0.228","0.178",,,"0.762","0.843","0.049"
"52367","631.9716037","pp","aspC (pp) 83332.Rv1595","false","pp","aspC (pp) 83332.Rv1595",,,"0.932",,,,"0.061","0.941","0.151"
"52368","333.01586723","pp","aspC (pp) 83332.Rv3339c","false","pp","aspC (pp) 83332.Rv3339c","0.156",,"0.883",,,,"0.063","0.906","0.106"
"52369","563.68093076","pp","aspC (pp) 83332.Rv3710","false","pp","aspC (pp) 83332.Rv3710","0.103",,"0.945",,,,"0.061","0.953","0.107"
"52370","903.65522157","pp","aspC (pp) 83332.Rv3319","false","pp","aspC (pp) 83332.Rv3319","0.095",,"0.945",,,,"0.044","0.951","0.097"
"52371","94.19851212","pp","aspC (pp) 83332.Rv0066c","false","pp","aspC (pp) 83332.Rv0066c","0.07",,"0.945",,,,,"0.946",
"52372","824.61836475","pp","aspC (pp) argA","false","pp","aspC (pp) argA","0.069",,"0.945",,,,,"0.946",
"52373","960.04721718","pp","aspC (pp) 83332.Rv0247c","false","pp","aspC (pp) 83332.Rv0247c","0.095",,"0.945",,,,"0.044","0.951","0.097"
"52374","3889.067357","pp","aspC (pp) 83332.Rv3423c","false","pp","aspC (pp) 83332.Rv3423c",,,"0.945",,,,"0.075","0.963","0.342"
"52375","779.81705342","pp","aspC (pp) 83332.Rv1653","false","pp","aspC (pp) 83332.Rv1653","0.066",,"0.945",,,,"0.068","0.953","0.151"
"52376","523.9855215","pp","aspC (pp) 83332.Rv1826","false","pp","aspC (pp) 83332.Rv1826",,,"0.196",,,,"0.044","0.779","0.736"
"52377","546.59230953","pp","aspC (pp) 83332.Rv0248c","false","pp","aspC (pp) 83332.Rv0248c","0.209",,"0.945",,,,,"0.957","0.103"
"52378","5433.28797166","pp","esxV (pp) 83332.Rv3620c","false","pp","esxV (pp) 83332.Rv3620c",,,,,,,"0.771","0.987","0.947"
"52379","1424.7995059","pp","gyrB (pp) 83332.Rv3014c","false","pp","gyrB (pp) 83332.Rv3014c","0.076","0.553",,"0.143",,,"0.044","0.872","0.68"
"52380","500.01987942","pp","gyrB (pp) 83332.Rv3646c","false","pp","gyrB (pp) 83332.Rv3646c","0.213",,,"0.07",,,"0.062","0.942","0.926"
"52381","422.10146587","pp","gyrB (pp) 83332.Rv0684","false","pp","gyrB (pp) 83332.Rv0684","0.105","0.272",,"0.149",,,,"0.806","0.693"
"52382","2758.68203646","pp","gyrB (pp) 83332.Rv1629","false","pp","gyrB (pp) 83332.Rv1629","0.407",,,"0.141",,,"0.247","0.874","0.71"
"52383","1282.69683193","pp","gyrB (pp) 83332.Rv0058","false","pp","gyrB (pp) 83332.Rv0058",,,,,,,"0.219","0.774","0.723"
"52384","3364.38869045","pp","gyrB (pp) 83332.Rv3361c","false","pp","gyrB (pp) 83332.Rv3361c","0.07",,,,,,"0.061","0.814","0.804"
"52385","2294.97494165","pp","gyrB (pp) 83332.Rv2373c","false","pp","gyrB (pp) 83332.Rv2373c","0.072","0.736",,"0.065",,,"0.065","0.826","0.315"
"52386","1424.08670754","pp","gyrB (pp) 83332.Rv2101","false","pp","gyrB (pp) 83332.Rv2101","0.22",,"0.711","0.304",,,"0.044","0.888","0.374"
"52387","579.82016966","pp","gyrB (pp) secA1","false","pp","gyrB (pp) secA1","0.074","0.407",,"0.147",,,,"0.804","0.631"
"52388","1092.74106844","pp","gyrB (pp) 83332.Rv2428","false","pp","gyrB (pp) 83332.Rv2428","0.07",,,,,,"0.053","0.781","0.772"
"52389","685.07160042","pp","gyrB (pp) 83332.Rv3457c","false","pp","gyrB (pp) 83332.Rv3457c","0.085","0.164",,,,,,"0.839","0.807"
"52390","887.83326145","pp","gyrB (pp) 83332.Rv3919c","false","pp","gyrB (pp) 83332.Rv3919c","0.075",,,,,,"0.16","0.917","0.903"
"52391","5668.79526019","pp","gyrB (pp) ftsZ","false","pp","gyrB (pp) ftsZ","0.173","0.294",,,,,"0.163","0.835","0.702"
"52392","3334.26385526","pp","gyrB (pp) 83332.Rv0730","false","pp","gyrB (pp) 83332.Rv0730","0.273",,,"0.884",,,"0.151","0.942","0.291"
"52393","1336.66575141","pp","gyrB (pp) uvrA","false","pp","gyrB (pp) uvrA","0.091","0.641",,,,,"0.059","0.833","0.522"
"52394","10674.96707229","pp","gyrB (pp) 83332.Rv0440","false","pp","gyrB (pp) 83332.Rv0440","0.079",,,,,,"0.085","0.833","0.818"
"52395","2854.96771941","pp","gyrB (pp) embB","false","pp","gyrB (pp) embB",,,,,,,"0.042","0.902","0.902"
"52396","2466.10430351","pp","gyrB (pp) 83332.Rv2737c","false","pp","gyrB (pp) 83332.Rv2737c","0.269","0.187",,"0.209",,,"0.088","0.943","0.889"
"52397","592.50562727","pp","gyrB (pp) 83332.Rv0667","false","pp","gyrB (pp) 83332.Rv0667","0.288","0.187",,,,,,"0.975","0.961"
"52398","986.42351147","pp","gyrB (pp) 83332.Rv0003","false","pp","gyrB (pp) 83332.Rv0003","0.35",,,,"0.164",,"0.561","0.969","0.886"
"52399","5999.72384537","pp","gyrB (pp) 83332.Rv1484","false","pp","gyrB (pp) 83332.Rv1484",,,,,,,"0.061","0.911","0.91"
"52400","1871.00276361","pp","gyrB (pp) 83332.Rv1908c","false","pp","gyrB (pp) 83332.Rv1908c",,,,,,,,"0.916","0.917"
"52401","1966.68638175","pp","gyrB (pp) 83332.Rv1650","false","pp","gyrB (pp) 83332.Rv1650","0.189",,,,,,"0.337","0.795","0.65"
"52402","449.26200329","pp","gyrB (pp) 83332.Rv0668","false","pp","gyrB (pp) 83332.Rv0668","0.256","0.228",,,,,,"0.924","0.879"
"52403","662.99577057","pp","gyrB (pp) dnaZX","false","pp","gyrB (pp) dnaZX","0.105","0.296",,"0.149",,,"0.089","0.786","0.63"
"52404","1330.63644933","pp","gyrB (pp) 83332.Rv0041","false","pp","gyrB (pp) 83332.Rv0041","0.269","0.374",,,,,"0.07","0.834","0.657"
"52405","1521.90783746","pp","gyrB (pp) rnpA","false","pp","gyrB (pp) rnpA","0.071",,,,,,"0.163","0.808","0.774"
"52406","1632.50542363","pp","gyrB (pp) 83332.Rv0350","false","pp","gyrB (pp) 83332.Rv0350",,"0.755",,"0.243",,,"0.043","0.895","0.483"
"52407","1153.82522825","pp","gyrB (pp) tuf","false","pp","gyrB (pp) tuf","0.189","0.232",,,,,,"0.832","0.752"
"52408","99.5025317","pp","gyrB (pp) gyrA","false","pp","gyrB (pp) gyrA","0.273","0.783",,"0.976","0.299",,"0.782","0.999","0.993"
"52409","809.41011162","pp","gyrB (pp) tlyA","false","pp","gyrB (pp) tlyA",,,,,,,"0.061","0.867","0.865"
"52410","688.53557921","pp","gyrB (pp) rpsL","false","pp","gyrB (pp) rpsL","0.078","0.179",,,,,,"0.944","0.932"
"52411","1387.03430629","pp","gyrB (pp) uvrB","false","pp","gyrB (pp) uvrB","0.073","0.665",,,,,"0.046","0.854","0.568"
"52412","419.70083529","pp","esxI (pp) 83332.Rv1039c","false","pp","esxI (pp) 83332.Rv1039c",,,,,,,"0.473","0.863","0.752"
"52413","1022.65318561","pp","esxI (pp) 83332.Rv1040c","false","pp","esxI (pp) 83332.Rv1040c",,,,,,,"0.365","0.823","0.734"
"52414","6980.88719745","pp","esxI (pp) 83332.Rv3620c","false","pp","esxI (pp) 83332.Rv3620c",,,,"0.808",,,"0.064","0.812",
"52415","311.44752993","pp","pgi (pp) 83332.Rv2497c","false","pp","pgi (pp) 83332.Rv2497c",,,"0.945",,,,"0.068","0.964","0.365"
"52416","1045.82543681","pp","pgi (pp) 83332.Rv1437","false","pp","pgi (pp) 83332.Rv1437","0.839","0.159","0.442","0.241",,,"0.139","0.99","0.843"
"52417","4364.97702461","pp","pgi (pp) korA","false","pp","pgi (pp) korA",,,"0.952",,,,"0.266","0.984","0.6"
"52418","1034.83202407","pp","pgi (pp) 83332.Rv3436c","false","pp","pgi (pp) 83332.Rv3436c","0.073",,"0.994",,,,"0.144","0.997","0.612"
"52419","477.93583795","pp","pgi (pp) 83332.Rv0478","false","pp","pgi (pp) 83332.Rv0478","0.082",,"0.945",,,,"0.127","0.958","0.172"
"52420","2860.99415786","pp","pgi (pp) 83332.Rv0408","false","pp","pgi (pp) 83332.Rv0408","0.071",,,,,,"0.326","0.837","0.762"
"52421","1260.2540991","pp","pgi (pp) 83332.Rv0489","false","pp","pgi (pp) 83332.Rv0489","0.663",,"0.945",,,,"0.043","0.995","0.775"
"52422","1412.32382388","pp","pgi (pp) 83332.Rv1127c","false","pp","pgi (pp) 83332.Rv1127c","0.147",,"0.952",,,,"0.351","0.989","0.656"
"52423","519.21843906","pp","pgi (pp) ppgK","false","pp","pgi (pp) ppgK",,"0.182","0.945",,,,"0.088","0.981","0.594"
"52424","566.40902604","pp","pgi (pp) 83332.Rv1099c","false","pp","pgi (pp) 83332.Rv1099c","0.069",,"0.994",,,,"0.068","0.999","0.848"
"52425","438.37890319","pp","pgi (pp) 83332.Rv3010c","false","pp","pgi (pp) 83332.Rv3010c","0.818",,"0.994","0.231",,,"0.163","0.999","0.891"
"52426","846.90449738","pp","pgi (pp) 83332.Rv3068c","false","pp","pgi (pp) 83332.Rv3068c","0.837",,"0.945","0.216",,,"0.163","0.997","0.701"
"52427","1231.24973665","pp","pgi (pp) 83332.Rv2228c","false","pp","pgi (pp) 83332.Rv2228c","0.08",,"0.768",,,,"0.338","0.873","0.208"
"52428","192.08677182","pp","pgi (pp) aceE","false","pp","pgi (pp) aceE","0.085",,"0.945",,,,"0.065","0.982","0.676"
"52429","1483.87521925","pp","pgi (pp) 83332.Rv1023","false","pp","pgi (pp) 83332.Rv1023","0.073",,"0.945",,,,"0.068","0.97","0.452"
"52430","866.78846628","pp","pgi (pp) 83332.Rv1408","false","pp","pgi (pp) 83332.Rv1408","0.095",,"0.228",,,,"0.163","0.87","0.805"
"52431","1903.75062793","pp","pgi (pp) 83332.Rv3255c","false","pp","pgi (pp) 83332.Rv3255c","0.265","0.156","0.994",,,,"0.144","0.998","0.701"
"52432","684.14844387","pp","pgi (pp) 83332.Rv1098c","false","pp","pgi (pp) 83332.Rv1098c","0.072",,,"0.194",,,"0.043","0.909","0.888"
"52433","238.50593634","pp","pgi (pp) 83332.Rv2047c","false","pp","pgi (pp) 83332.Rv2047c","0.071",,"0.803",,,,"0.068","0.932","0.649"
"52434","1226.69826697","pp","pgi (pp) 83332.Rv2454c","false","pp","pgi (pp) 83332.Rv2454c",,,"0.945",,,,"0.086","0.973","0.512"
"52435","104.40105712","pp","pgi (pp) tal","false","pp","pgi (pp) tal","0.331",,"0.945","0.149","0.037",,"0.248","0.996","0.878"
"52436","3641.07485758","pp","pgi (pp) 83332.Rv1248c","false","pp","pgi (pp) 83332.Rv1248c","0.205","0.16","0.231",,,,"0.116","0.792","0.613"
"52437","407.1527466","pp","pgi (pp) 83332.Rv2496c","false","pp","pgi (pp) 83332.Rv2496c","0.157",,"0.945",,,,"0.068","0.968","0.364"
"52438","702.50704542","pp","pgi (pp) 83332.Rv1445c","false","pp","pgi (pp) 83332.Rv1445c","0.083",,"0.442","0.092",,,"0.163","0.829","0.629"
"52439","5060.93313714","pp","pgi (pp) 83332.Rv1328","false","pp","pgi (pp) 83332.Rv1328","0.762",,,,,,"0.163","0.861","0.358"
"52440","208.84799032","pp","pgi (pp) 83332.Rv1438","false","pp","pgi (pp) 83332.Rv1438","0.839",,"0.945","0.295",,,"0.089","0.999","0.89"
"52441","85.86474968","pp","pgi (pp) tkt","false","pp","pgi (pp) tkt","0.229",,"0.945","0.18",,,"0.215","0.992","0.774"
"52442","2988.71779319","pp","pgi (pp) pfkB","false","pp","pgi (pp) pfkB",,,"0.994",,,,"0.068","0.998","0.702"
"52443","1734.92895418","pp","pgi (pp) 83332.Rv3696c","false","pp","pgi (pp) 83332.Rv3696c","0.173",,,,,,"0.125","0.772","0.711"
"52444","1097.57352015","pp","pgi (pp) pykA","false","pp","pgi (pp) pykA","0.82",,"0.945",,,,"0.163","0.998","0.888"
"52445","129.94732934","pp","pgi (pp) 83332.Rv1121","false","pp","pgi (pp) 83332.Rv1121","0.282","0.155","0.945",,,,"0.113","0.982","0.511"
"52446","184.01760896","pp","pgi (pp) zwf2","false","pp","pgi (pp) zwf2","0.282",,"0.945",,,,"0.113","0.984","0.611"
"52447","642.41728175","pp","pgi (pp) 83332.Rv1436","false","pp","pgi (pp) 83332.Rv1436","0.082",,"0.831",,,,"0.044","0.886","0.324"
"52448","768.32640615","pp","pgi (pp) 83332.Rv1240","false","pp","pgi (pp) 83332.Rv1240","0.267",,"0.442",,,,"0.163","0.941","0.85"
"52449","2.25","pp","frdC (pp) 83332.Rv1555","false","pp","frdC (pp) 83332.Rv1555","0.834","0.784","0.936","0.993",,,"0.862","0.999","0.943"
"52450","520.59844259","pp","frdC (pp) 83332.Rv1553","false","pp","frdC (pp) 83332.Rv1553","0.323","0.607","0.936","0.364",,,"0.853","0.999","0.88"
"52451","953.96415324","pp","frdC (pp) 83332.Rv1098c","false","pp","frdC (pp) 83332.Rv1098c",,,"0.982",,,,,"0.985","0.211"
"52452","565.94284848","pp","frdC (pp) 83332.Rv0247c","false","pp","frdC (pp) 83332.Rv0247c","0.323",,"0.325","0.364",,,"0.088","0.798","0.358"
"52453","121.67861701","pp","frdC (pp) 83332.Rv3317","false","pp","frdC (pp) 83332.Rv3317",,,"0.693",,,,,"0.921","0.753"
"52454","275.86522286","pp","frdC (pp) 83332.Rv3316","false","pp","frdC (pp) 83332.Rv3316",,,"0.693",,,,,"0.876","0.614"
"52455","1517.19749493","pp","frdC (pp) 83332.Rv0904c","false","pp","frdC (pp) 83332.Rv0904c",,,"0.952",,,,,"0.953","0.076"
"52456","579.45654926","pp","frdC (pp) 83332.Rv3319","false","pp","frdC (pp) 83332.Rv3319","0.323",,"0.693","0.364",,,"0.088","0.908","0.355"
"52457","204.02579576","pp","frdC (pp) 83332.Rv3318","false","pp","frdC (pp) 83332.Rv3318","0.277",,"0.693","0.315",,,"0.083","0.924","0.543"
"52458","4431.58374153","pp","kgd (pp) 83332.Rv2200c","false","pp","kgd (pp) 83332.Rv2200c","0.664",,,"0.097",,,"0.06","0.874","0.611"
"52459","357.8687452","pp","qcrC (pp) ctaC","false","pp","qcrC (pp) ctaC","0.071","0.573","0.942","0.994",,,"0.216","0.999","0.888"
"52460","149.82528788","pp","ctaC (pp) nuoN","false","pp","ctaC (pp) nuoN","0.659",,,"0.289",,,,"0.808","0.274"
"52461","132.63043821","pp","nuoA (pp) 83332.Rv2200c","false","pp","nuoA (pp) 83332.Rv2200c","0.406",,,"0.303",,,,"0.818","0.596"
"52462","2873.59155786","pp","ctaC (pp) 83332.Rv1736c","false","pp","ctaC (pp) 83332.Rv1736c","0.176",,"0.824",,,,,"0.892","0.319"
"52463","3156.65713204","pp","ctaC (pp) 83332.Rv1308","false","pp","ctaC (pp) 83332.Rv1308","0.607",,"0.169",,,,,"0.833","0.53"
"52464","148.7642175","pp","ctaC (pp) nuoH","false","pp","ctaC (pp) nuoH","0.839",,,"0.297",,,,"0.914","0.307"
"52465","129.31104889","pp","ctaC (pp) 83332.Rv3157","false","pp","ctaC (pp) 83332.Rv3157","0.838",,,"0.297",,,,"0.903","0.217"
"52466","328.45594226","pp","cydA (pp) 83332.Rv2200c","false","pp","cydA (pp) 83332.Rv2200c",,,,"0.148",,,"0.061","0.79","0.759"
"52467","114.25219243","pp","ctaD (pp) 83332.Rv2200c","false","pp","ctaD (pp) 83332.Rv2200c","0.901","0.747","0.989","0.994","0.431",,"0.249","0.999","0.973"
"52468","220.24505249","pp","qcrA (pp) ctaC","false","pp","qcrA (pp) ctaC","0.355","0.554",,"0.594",,,"0.215","0.981","0.83"
"52469","504.68801462","pp","ilvD (pp) aspC","false","pp","ilvD (pp) aspC","0.07",,"0.945",,,,"0.068","0.956","0.201"
"52470","340.37133177","pp","ilvD (pp) 83332.Rv0957","false","pp","ilvD (pp) 83332.Rv0957","0.668",,,,,,"0.069","0.814","0.448"
"52471","328.37129745","pp","ilvD (pp) ilvG","false","pp","ilvD (pp) ilvG","0.355","0.288","0.179","0.262","0.031",,"0.083","0.865","0.571"
"52472","645.1483514","pp","ilvD (pp) 83332.Rv3710","false","pp","ilvD (pp) 83332.Rv3710","0.252",,"0.994",,,,"0.088","0.999","0.808"
"52473","145.54858638","pp","ilvD (pp) ilvC","false","pp","ilvD (pp) ilvC","0.806","0.725","0.994","0.349",,,"0.249","0.999","0.915"
