"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"49031","231.05833261","pp","Rv1320c (pp) 83332.Rv2435c","false","pp","Rv1320c (pp) 83332.Rv2435c","0.07","0.282","0.765",,,,"0.077","0.854","0.151"
"49032","519.08992438","pp","Rv1320c (pp) ribA1","false","pp","Rv1320c (pp) ribA1",,,"0.952",,,,"0.068","0.953",
"49033","731.55048124","pp","Rv1320c (pp) 83332.Rv2445c","false","pp","Rv1320c (pp) 83332.Rv2445c",,,"0.728","0.104",,,"0.141","0.772",
"49034","839.72972239","pp","Rv1320c (pp) mtrB","false","pp","Rv1320c (pp) mtrB",,,"0.952","0.211",,,"0.116","0.974","0.32"
"49035","2329.54786339","pp","Rv1320c (pp) 83332.Rv1617","false","pp","Rv1320c (pp) 83332.Rv1617",,,"0.728","0.182",,,"0.049","0.776","0.069"
"49036","172.85761092","pp","Rv1320c (pp) 83332.Rv1319c","false","pp","Rv1320c (pp) 83332.Rv1319c",,"0.061","0.342",,,,"0.835","0.889",
"49037","11621.94308841","pp","Rv3040c (pp) 83332.Rv3692","false","pp","Rv3040c (pp) 83332.Rv3692",,,,,,,"0.063","0.833","0.83"
"49038","88.53923442","pp","Rv3040c (pp) 83332.Rv3041c","false","pp","Rv3040c (pp) 83332.Rv3041c","0.085",,,,,,"0.874","0.88",
"49039","3144.2689028","pp","Rv3040c (pp) 83332.Rv3677c","false","pp","Rv3040c (pp) 83332.Rv3677c","0.071","0.482",,,"0.889",,"0.249","0.957","0.096"
"49040","15905.3697886","pp","Rv3040c (pp) 83332.Rv3042c","false","pp","Rv3040c (pp) 83332.Rv3042c","0.071",,,,,,"0.828","0.833",
"49041","9696.0","pp","Rv3040c (pp) 83332.Rv3672c","false","pp","Rv3040c (pp) 83332.Rv3672c","0.085",,,,,,,"0.912","0.908"
"49042","12640.9758005","pp","Rv3040c (pp) 83332.Rv3039c","false","pp","Rv3040c (pp) 83332.Rv3039c","0.085",,"0.274","0.136",,,"0.864","0.911",
"49043","2989.15719888","pp","sapM (pp) 83332.Rv0153c","false","pp","sapM (pp) 83332.Rv0153c",,,,,,,,"0.906","0.906"
"49044","1875.8280351","pp","sapM (pp) 83332.Rv3311","false","pp","sapM (pp) 83332.Rv3311","0.085",,,,,,"0.776","0.798","0.093"
"49045","4850.0","pp","sapM (pp) 83332.Rv2349c","false","pp","sapM (pp) 83332.Rv2349c","0.07",,"0.802",,,,,"0.817","0.087"
"49046","5715.11301261","pp","Rv0958 (pp) 83332.Rv2850c","false","pp","Rv0958 (pp) 83332.Rv2850c","0.417",,"0.945","0.96",,,"0.11","0.999","0.294"
"49047","4850.0","pp","Rv0958 (pp) 83332.Rv0959","false","pp","Rv0958 (pp) 83332.Rv0959","0.085","0.783",,,,,"0.874","0.972",
"49048","3980.88698739","pp","hemZ (pp) 83332.Rv0958","false","pp","hemZ (pp) 83332.Rv0958","0.093",,"0.945",,,,"0.068","0.96","0.246"
"49049","1891.17371226","pp","Rv1508A (pp) 83332.Rv1512","false","pp","Rv1508A (pp) 83332.Rv1512","0.101","0.783","0.192","0.211",,,"0.068","0.872","0.111"
"49050","1475.12700293","pp","Rv1508A (pp) 83332.Rv1514c","false","pp","Rv1508A (pp) 83332.Rv1514c","0.135","0.728","0.173",,,,"0.068","0.809","0.11"
"49051","4439.36034163","pp","Rv1508A (pp) 83332.Rv1507c","false","pp","Rv1508A (pp) 83332.Rv1507c",,,,,,,"0.044","0.858","0.858"
"49052","1227.39528677","pp","Rv1508A (pp) 83332.Rv1509","false","pp","Rv1508A (pp) 83332.Rv1509","0.052",,,,,,"0.85","0.978","0.863"
"49053","1454.65832123","pp","dipZ (pp) 83332.Rv2871","false","pp","dipZ (pp) 83332.Rv2871",,,,,,,"0.327","0.826","0.753"
"49054","1370.75827952","pp","dipZ (pp) 83332.Rv0137c","false","pp","dipZ (pp) 83332.Rv0137c","0.071",,"0.473","0.277",,,"0.308","0.874","0.566"
"49055","2796.17488543","pp","dipZ (pp) 83332.Rv2872","false","pp","dipZ (pp) 83332.Rv2872",,,,,,,"0.327","0.812","0.732"
"49056","1012.31895726","pp","dipZ (pp) Rv2876","false","pp","dipZ (pp) Rv2876","0.07",,,,,,"0.472","0.867","0.752"
"49057","15042.35529507","pp","dipZ (pp) 83332.Rv0529","false","pp","dipZ (pp) 83332.Rv0529","0.08",,,,,,"0.307","0.854","0.79"
"49058","4268.27371496","pp","dipZ (pp) 83332.Rv2875","false","pp","dipZ (pp) 83332.Rv2875",,,,,,,"0.611","0.869","0.678"
