"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"5991","447.59170392","pp","1352.AL014_04580 (pp) 1352.AL014_15170",,"false","pp","1352.AL014_04580 (pp) 1352.AL014_15170",,,,,,,,,
"5992","736.09169544","pp","1352.AL014_04580 (pp) 1352.AL014_14790",,"false","pp","1352.AL014_04580 (pp) 1352.AL014_14790",,,,,,,,,
"5993","282.6210369","pp","1352.AL014_05310 (pp) 1352.AL014_06495",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_06495",,,,,,,,,
"5994","207.45432499","pp","1352.AL014_05310 (pp) 1352.AL014_05640",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_05640",,,,,,,,,
"5995","193.91223507","pp","1352.AL014_05310 (pp) 1352.AL014_06695",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_06695",,,,,,,,,
"5996","391.60428782","pp","1352.AL014_05310 (pp) 1352.AL014_07685",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_07685",,,,,,,,,
"5997","474.44907396","pp","1352.AL014_05310 (pp) 1352.AL014_07265",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_07265",,,,,,,,,
"5998","275.48478768","pp","1352.AL014_05310 (pp) 1352.AL014_07785",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_07785",,,,,,,,,
"5999","274.70184596","pp","1352.AL014_05310 (pp) 1352.AL014_08465",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_08465",,,,,,,,,
"6000","421.39525049","pp","1352.AL014_05310 (pp) 1352.AL014_12045",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_12045",,,,,,,,,
"6001","578.25242232","pp","1352.AL014_05310 (pp) 1352.AL014_08570",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_08570",,,,,,,,,
"6002","323.58857329","pp","1352.AL014_05310 (pp) 1352.AL014_08970",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_08970",,,,,,,,,
"6003","192.13138842","pp","1352.AL014_05310 (pp) 1352.AL014_12240",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_12240",,,,,,,,,
"6004","89.81522051","pp","1352.AL014_05310 (pp) 1352.AL014_09470",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_09470",,,,,,,,,
"6005","567.36405027","pp","1352.AL014_05310 (pp) 1352.AL014_08775",,"false","pp","1352.AL014_05310 (pp) 1352.AL014_08775",,,,,,,,,
