"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"20516","2.0","pp","208964.PA0420 (pp) 208964.PA0500","false","pp","208964.PA0420 (pp) 208964.PA0500","0.455","0.46","0.236",,,"0.617","0.973","0.732"
"20517","3136.1189757610164","pp","208964.PA0420 (pp) 208964.PA0501","false","pp","208964.PA0420 (pp) 208964.PA0501","0.813","0.268","0.9",,,"0.617","0.999","0.852"
"20518","2.0","pp","208964.PA0420 (pp) 208964.PA0503","false","pp","208964.PA0420 (pp) 208964.PA0503","0.19","0.215",,,,"0.617","0.993","0.975"
"20519","473.88102423897925","pp","208964.PA0420 (pp) 208964.PA0504","false","pp","208964.PA0420 (pp) 208964.PA0504","0.181","0.671","0.9",,,"0.617","0.999","0.976"
"20520","2.0","pp","208964.PA0420 (pp) 208964.PA4280","false","pp","208964.PA0420 (pp) 208964.PA4280",,,,,,"0.048","0.845","0.844"
"20521","874.9226926479445","pp","208964.PA5565 (pp) 208964.PA5568","false","pp","208964.PA5565 (pp) 208964.PA5568","0.255","0.153",,,,"0.617","0.835","0.399"
"20522","99.11005585432808","pp","208964.PA5565 (pp) 208964.PA5569","false","pp","208964.PA5565 (pp) 208964.PA5569","0.712",,,,,"0.377","0.929","0.636"
"20523","188.3401455539051","pp","208964.PA5565 (pp) 208964.PA5570","false","pp","208964.PA5565 (pp) 208964.PA5570","0.384",,,,,"0.371","0.94","0.857"
"20524","2.0","pp","208964.PA0692 (pp) 208964.PA0693","false","pp","208964.PA0692 (pp) 208964.PA0693","0.304","0.784",,,,"0.862","0.977",
"20525","2.0","pp","208964.PA0692 (pp) 208964.PA0694","false","pp","208964.PA0692 (pp) 208964.PA0694","0.256","0.77",,,,"0.404","0.889",
"20526","2.0","pp","208964.PA0692 (pp) 208964.PA0695","false","pp","208964.PA0692 (pp) 208964.PA0695","0.133","0.784",,,,"0.404","0.879",
"20527","2.0","pp","208964.PA0692 (pp) 208964.PA0696","false","pp","208964.PA0692 (pp) 208964.PA0696","0.305","0.784",,,,"0.415","0.905",
"20528","2.0","pp","208964.PA0692 (pp) 208964.PA0697","false","pp","208964.PA0692 (pp) 208964.PA0697","0.324","0.783",,,,"0.419","0.907",
"20529","2.0","pp","208964.PA0692 (pp) 208964.PA0698","false","pp","208964.PA0692 (pp) 208964.PA0698","0.236","0.783",,,,"0.455","0.902",
"20530","2.2857142857142856","pp","208964.PA0692 (pp) 208964.PA0699","false","pp","208964.PA0692 (pp) 208964.PA0699","0.133","0.561",,,,"0.455","0.774",
"20531","2.2857142857142856","pp","208964.PA0691 (pp) 208964.PA0692","false","pp","208964.PA0691 (pp) 208964.PA0692","0.324","0.724",,,,"0.498","0.898",
"20532","2.2857142857142856","pp","208964.PA0691 (pp) 208964.PA0693","false","pp","208964.PA0691 (pp) 208964.PA0693","0.077","0.752",,,,"0.464","0.867",
"20533","2.2857142857142856","pp","208964.PA0691 (pp) 208964.PA0694","false","pp","208964.PA0691 (pp) 208964.PA0694","0.122","0.623",,,,"0.462","0.806",
"20534","2.2857142857142856","pp","208964.PA0691 (pp) 208964.PA0695","false","pp","208964.PA0691 (pp) 208964.PA0695","0.067","0.757",,,,"0.462","0.867",
"20535","2.2857142857142856","pp","208964.PA0691 (pp) 208964.PA0696","false","pp","208964.PA0691 (pp) 208964.PA0696","0.089","0.743",,,,"0.367","0.839",
"20536","2.2857142857142856","pp","208964.PA0691 (pp) 208964.PA0697","false","pp","208964.PA0691 (pp) 208964.PA0697","0.227","0.773",,,,"0.33","0.872",
"20537","2.2857142857142856","pp","208964.PA0691 (pp) 208964.PA0698","false","pp","208964.PA0691 (pp) 208964.PA0698","0.123","0.767",,,,"0.306","0.846",
"20538","2.0","pp","208964.PA0694 (pp) 208964.PA0695","false","pp","208964.PA0694 (pp) 208964.PA0695","0.514","0.763",,,,"0.393","0.924",
"20539","2.0","pp","208964.PA0694 (pp) 208964.PA0696","false","pp","208964.PA0694 (pp) 208964.PA0696","0.541","0.762",,,,"0.778","0.974",
"20540","2.0","pp","208964.PA0694 (pp) 208964.PA0697","false","pp","208964.PA0694 (pp) 208964.PA0697","0.529","0.754",,,,"0.416","0.926",
"20541","2.0","pp","208964.PA0694 (pp) 208964.PA0698","false","pp","208964.PA0694 (pp) 208964.PA0698","0.588","0.75",,,,"0.428","0.936",
"20542","2.2857142857142856","pp","208964.PA0694 (pp) 208964.PA0699","false","pp","208964.PA0694 (pp) 208964.PA0699","0.42","0.524",,,,"0.428","0.828",
"20543","2.0","pp","208964.PA0693 (pp) 208964.PA0694","false","pp","208964.PA0693 (pp) 208964.PA0694","0.536","0.773",,,,"0.393","0.955","0.377"
"20544","2.0","pp","208964.PA0693 (pp) 208964.PA0695","false","pp","208964.PA0693 (pp) 208964.PA0695","0.529","0.784",,,,"0.393","0.933",
"20545","2.0","pp","208964.PA0693 (pp) 208964.PA0696","false","pp","208964.PA0693 (pp) 208964.PA0696","0.588","0.784",,,,"0.413","0.943",
"20546","2.0","pp","208964.PA0693 (pp) 208964.PA0697","false","pp","208964.PA0693 (pp) 208964.PA0697","0.374","0.784",,,,"0.416","0.914",
"20547","2.0","pp","208964.PA0693 (pp) 208964.PA0698","false","pp","208964.PA0693 (pp) 208964.PA0698","0.532","0.784",,,,"0.429","0.937",
"20548","2.2857142857142856","pp","208964.PA0693 (pp) 208964.PA0699","false","pp","208964.PA0693 (pp) 208964.PA0699","0.511","0.681",,,,"0.429","0.903",
"20549","2.0","pp","208964.PA0696 (pp) 208964.PA0697","false","pp","208964.PA0696 (pp) 208964.PA0697","0.49","0.784",,,,"0.408","0.929",
"20550","2.0","pp","208964.PA0696 (pp) 208964.PA0698","false","pp","208964.PA0696 (pp) 208964.PA0698","0.574","0.784",,,,"0.412","0.941",
"20551","2.2857142857142856","pp","208964.PA0696 (pp) 208964.PA0699","false","pp","208964.PA0696 (pp) 208964.PA0699","0.536","0.652",,,,"0.412","0.897",
"20552","2.0","pp","208964.PA0695 (pp) 208964.PA0696","false","pp","208964.PA0695 (pp) 208964.PA0696","0.6","0.784",,,,"0.778","0.979",
"20553","2.0","pp","208964.PA0695 (pp) 208964.PA0697","false","pp","208964.PA0695 (pp) 208964.PA0697","0.336","0.784",,,,"0.416","0.909",
"20554","2.0","pp","208964.PA0695 (pp) 208964.PA0698","false","pp","208964.PA0695 (pp) 208964.PA0698","0.533","0.784",,,,"0.428","0.937",
"20555","2.2857142857142856","pp","208964.PA0695 (pp) 208964.PA0699","false","pp","208964.PA0695 (pp) 208964.PA0699","0.608","0.671",,,,"0.428","0.92",
"20556","2.2857142857142856","pp","208964.PA0698 (pp) 208964.PA0699","false","pp","208964.PA0698 (pp) 208964.PA0699","0.514","0.687",,,,"0.902","0.984",
"20557","2.0","pp","208964.PA0697 (pp) 208964.PA0698","false","pp","208964.PA0697 (pp) 208964.PA0698","0.565","0.784",,,,"0.849","0.985",
"20558","2.2857142857142856","pp","208964.PA0697 (pp) 208964.PA0699","false","pp","208964.PA0697 (pp) 208964.PA0699","0.324","0.7",,,,"0.849","0.967",
"20559","387.4520817853342","pp","208964.PA4931 (pp) 208964.PA4932","false","pp","208964.PA4931 (pp) 208964.PA4932","0.174","0.287",,,,"0.568","0.783","0.248"
"20560","213.26808410274225","pp","208964.PA4931 (pp) 208964.PA4934","false","pp","208964.PA4931 (pp) 208964.PA4934","0.12","0.567",,,,"0.462","0.886","0.511"
"20561","111.72876386047366","pp","208964.PA4941 (pp) 208964.PA4942","false","pp","208964.PA4941 (pp) 208964.PA4942","0.825","0.545",,"0.429",,"0.893","0.998","0.679"
"20562","369.8618255248027","pp","208964.PA4941 (pp) 208964.PA4943","false","pp","208964.PA4941 (pp) 208964.PA4943","0.254",,,,,"0.596","0.99","0.969"
"20563","737.6908061478979","pp","208964.PA4941 (pp) 208964.PA4944","false","pp","208964.PA4941 (pp) 208964.PA4944","0.186",,,,,"0.588","0.834","0.546"
"20564","243.11653487770235","pp","208964.PA4941 (pp) 208964.PA4945","false","pp","208964.PA4941 (pp) 208964.PA4945","0.177",,,,,"0.414","0.963","0.929"
"20565","274.60350952535555","pp","208964.PA4941 (pp) 208964.PA4949","false","pp","208964.PA4941 (pp) 208964.PA4949",,,,,,"0.47","0.939","0.889"
"20566","2122.420398363666","pp","208964.PA4941 (pp) 208964.PA5568","false","pp","208964.PA4941 (pp) 208964.PA5568","0.215","0.283",,"0.466",,,"0.773","0.335"
"20567","347.0880587955397","pp","208964.PA4942 (pp) 208964.PA4943","false","pp","208964.PA4942 (pp) 208964.PA4943","0.373",,,,,"0.584","0.991","0.969"
"20568","621.782468407733","pp","208964.PA4942 (pp) 208964.PA4944","false","pp","208964.PA4942 (pp) 208964.PA4944","0.176",,,,,"0.588","0.884","0.685"
"20569","233.76871371479865","pp","208964.PA4942 (pp) 208964.PA4945","false","pp","208964.PA4942 (pp) 208964.PA4945","0.178",,,,,"0.402","0.857","0.733"
"20570","268.84048329538024","pp","208964.PA4942 (pp) 208964.PA4949","false","pp","208964.PA4942 (pp) 208964.PA4949",,,,,,"0.319","0.893","0.85"
"20571","2813.0412028470723","pp","208964.PA4945 (pp) 208964.PA4946","false","pp","208964.PA4945 (pp) 208964.PA4946",,,,"0.201",,"0.663","0.814","0.365"
"20572","26.141359031315442","pp","208964.PA4945 (pp) 208964.PA4949","false","pp","208964.PA4945 (pp) 208964.PA4949","0.086",,,,,"0.623","0.954","0.878"
"20573","7228.0","pp","208964.PA0908 (pp) 208964.PA0910","false","pp","208964.PA0908 (pp) 208964.PA0910","0.635",,,,,"0.589","0.844",
"20574","3616.0","pp","208964.PA0910 (pp) 208964.PA0911","false","pp","208964.PA0910 (pp) 208964.PA0911","0.636",,,,,"0.676","0.877",
"20575","3616.0","pp","208964.PA3191 (pp) 208964.PA3192","false","pp","208964.PA3191 (pp) 208964.PA3192","0.456","0.713","0.444",,,"0.778","0.979","0.07"
"20576","7228.0","pp","208964.PA3192 (pp) 208964.PA3193","false","pp","208964.PA3192 (pp) 208964.PA3193","0.419",,,,,"0.732","0.918","0.514"
"20577","3346.9457687857243","pp","208964.PA2424 (pp) 208964.PA2425","false","pp","208964.PA2424 (pp) 208964.PA2425","0.513","0.765",,,,"0.622","0.984","0.672"
"20578","269.05423121427236","pp","208964.PA2424 (pp) 208964.PA2426","false","pp","208964.PA2424 (pp) 208964.PA2426","0.435","0.278",,,,"0.388","0.96","0.858"
"20579","3279.9059726035694","pp","208964.PA2426 (pp) 208964.PA4227","false","pp","208964.PA2426 (pp) 208964.PA4227","0.515",,,,,,"0.925","0.852"
"20580","4.0","pp","208964.PA0809 (pp) 208964.PA0811","false","pp","208964.PA0809 (pp) 208964.PA0811","0.599",,,,,"0.5","0.791",
"20581","4.0","pp","208964.PA0809 (pp) 208964.PA0812","false","pp","208964.PA0809 (pp) 208964.PA0812","0.568",,,,,"0.5","0.775",
"20582","789.3075191847144","pp","208964.PA4751 (pp) 208964.PA5568","false","pp","208964.PA4751 (pp) 208964.PA5568","0.077","0.198",,"0.499",,"0.053","0.785","0.482"
"20583","1783.9555213398462","pp","208964.PA4751 (pp) 208964.PA4761","false","pp","208964.PA4751 (pp) 208964.PA4761","0.189","0.573","0.188","0.172",,"0.08","0.887","0.572"
"20584","815.2128097896524","pp","208964.PA4751 (pp) 208964.PA4941","false","pp","208964.PA4751 (pp) 208964.PA4941","0.198","0.183","0.171","0.829",,"0.115","0.989","0.893"
"20585","1184.3545534266077","pp","208964.PA4751 (pp) 208964.PA4942","false","pp","208964.PA4751 (pp) 208964.PA4942","0.219","0.167","0.171","0.518",,"0.115","0.993","0.974"
"20586","2.0","pp","208964.PA3304 (pp) 208964.PA3305","false","pp","208964.PA3304 (pp) 208964.PA3305","0.125","0.751",,,,"0.765","0.944",
"20587","4941.993135596497","pp","208964.PA2344 (pp) 208964.PA5110","false","pp","208964.PA2344 (pp) 208964.PA5110",,,"0.953",,,,"0.954","0.069"
"20588","2.0","pp","208964.PA0978 (pp) 208964.PA0979","false","pp","208964.PA0978 (pp) 208964.PA0979",,"0.645",,,,"0.392","0.775",
"20589","2.0","pp","208964.PA4540 (pp) 208964.PA4541","false","pp","208964.PA4540 (pp) 208964.PA4541","0.118","0.783",,,,"0.693","0.942","0.136"
"20590","3136.1189757610173","pp","208964.PA0500 (pp) 208964.PA0501","false","pp","208964.PA0500 (pp) 208964.PA0501","0.476","0.318","0.668",,,"0.596","0.998","0.969"
"20591","2.0","pp","208964.PA0500 (pp) 208964.PA0503","false","pp","208964.PA0500 (pp) 208964.PA0503","0.793","0.178",,,,"0.563","0.997","0.959"
"20592","473.88102423897914","pp","208964.PA0500 (pp) 208964.PA0504","false","pp","208964.PA0500 (pp) 208964.PA0504","0.74","0.699","0.9","0.2",,"0.563","0.999","0.976"
"20593","2.0","pp","208964.PA0500 (pp) 208964.PA4280","false","pp","208964.PA0500 (pp) 208964.PA4280","0.073",,"0.965",,,"0.155","0.994","0.818"
"20594","4570.25419537532","pp","208964.PA0504 (pp) 208964.PA1017","false","pp","208964.PA0504 (pp) 208964.PA1017",,,,,,,"0.849","0.849"
"20595","473.88102423897925","pp","208964.PA0504 (pp) 208964.PA4280","false","pp","208964.PA0504 (pp) 208964.PA4280","0.077","0.195","0.638",,,"0.085","0.957","0.853"
"20596","675.2995871500439","pp","208964.PA3219 (pp) 208964.PA3643","false","pp","208964.PA3219 (pp) 208964.PA3643",,,"0.873",,,,"0.951","0.63"
"20597","2940.7004128499493","pp","208964.PA3219 (pp) 208964.PA3646","false","pp","208964.PA3219 (pp) 208964.PA3646",,,"0.873",,,,"0.941","0.552"
"20598","473.88102423897914","pp","208964.PA0503 (pp) 208964.PA0504","false","pp","208964.PA0503 (pp) 208964.PA0504","0.516","0.497","0.799",,,"0.845","0.999","0.854"
"20599","2.0","pp","208964.PA0503 (pp) 208964.PA4280","false","pp","208964.PA0503 (pp) 208964.PA4280",,"0.179",,,,"0.076","0.875","0.848"
"20600","638.1913155894777","pp","208964.PA0882 (pp) 208964.PA0883","false","pp","208964.PA0882 (pp) 208964.PA0883","0.288","0.681","0.962",,,"0.845","0.999","0.191"
"20601","881.7023277163137","pp","208964.PA0882 (pp) 208964.PA1588","false","pp","208964.PA0882 (pp) 208964.PA1588",,,"0.8",,,,"0.8",
"20602","2028.7206368375669","pp","208964.PA0882 (pp) 208964.PA1589","false","pp","208964.PA0882 (pp) 208964.PA1589",,,"0.904",,,,"0.904",
"20603","260.936719554385","pp","208964.PA0430 (pp) 208964.PA0902","false","pp","208964.PA0430 (pp) 208964.PA0902",,,"0.873",,,,"0.877","0.071"
"20604","409.5009443896271","pp","208964.PA0430 (pp) 208964.PA1796","false","pp","208964.PA0430 (pp) 208964.PA1796","0.163",,"0.9",,,"0.084","0.943","0.348"
"20605","770.0543821825049","pp","208964.PA0430 (pp) 208964.PA0904","false","pp","208964.PA0430 (pp) 208964.PA0904","0.423",,"0.669","0.208",,"0.258","0.953","0.646"
"20606","173.0971946569264","pp","208964.PA0430 (pp) 208964.PA1843","false","pp","208964.PA0430 (pp) 208964.PA1843","0.198","0.189","0.9","0.461",,"0.43","0.994","0.759"
"20607","262.54315614072476","pp","208964.PA0430 (pp) 208964.PA1927","false","pp","208964.PA0430 (pp) 208964.PA1927","0.161","0.298","0.873","0.126",,"0.394","0.985","0.684"
"20608","1270.2103728976097","pp","208964.PA0430 (pp) 208964.PA0546","false","pp","208964.PA0430 (pp) 208964.PA0546","0.449",,,,,"0.617","0.952","0.792"
"20609","785.6612682592065","pp","208964.PA0430 (pp) 208964.PA3111","false","pp","208964.PA0430 (pp) 208964.PA3111","0.073","0.161","0.728",,,"0.069","0.848","0.348"
"20610","262.3974542605544","pp","208964.PA0430 (pp) 208964.PA2442","false","pp","208964.PA0430 (pp) 208964.PA2442","0.175",,"0.964",,,"0.078","0.974","0.154"
"20611","352.5520593775663","pp","208964.PA0430 (pp) 208964.PA5215","false","pp","208964.PA0430 (pp) 208964.PA5215","0.175",,"0.965",,,"0.078","0.974","0.139"
"20612","278.28323220833045","pp","208964.PA0430 (pp) 208964.PA2444","false","pp","208964.PA0430 (pp) 208964.PA2444","0.16",,"0.963",,,,"0.971","0.138"
"20613","321.5609447439165","pp","208964.PA0430 (pp) 208964.PA5413","false","pp","208964.PA0430 (pp) 208964.PA5413",,,"0.873",,,,"0.877","0.071"
"20614","403.32689012783817","pp","208964.PA3700 (pp) 208964.PA4484","false","pp","208964.PA3700 (pp) 208964.PA4484","0.181",,"0.666",,,"0.378","0.831","0.125"
"20615","612.8765373671558","pp","208964.PA3700 (pp) 208964.PA3987","false","pp","208964.PA3700 (pp) 208964.PA3987","0.176","0.15","0.4","0.426",,"0.116","0.904","0.633"
"20616","260.3284107160195","pp","208964.PA3700 (pp) 208964.PA4560","false","pp","208964.PA3700 (pp) 208964.PA4560","0.629","0.346","0.4","0.189",,"0.05","0.883","0.151"
"20617","1441.1059448977232","pp","208964.PA3700 (pp) 208964.PA4744","false","pp","208964.PA3700 (pp) 208964.PA4744","0.234","0.33",,,,"0.049","0.789","0.619"
"20618","456.29117856331044","pp","208964.PA3700 (pp) 208964.PA5051","false","pp","208964.PA3700 (pp) 208964.PA5051","0.175",,"0.4","0.42",,"0.115","0.896","0.653"
"20619","2606.9563264095286","pp","208964.PA3700 (pp) 208964.PA5260","false","pp","208964.PA3700 (pp) 208964.PA5260","0.302",,"0.755",,,"0.084","0.83",
"20620","244.10238706498455","pp","208964.PA2612 (pp) 208964.PA3987","false","pp","208964.PA2612 (pp) 208964.PA3987","0.399","0.593",,,,"0.151","0.894","0.548"
"20621","1186.4349141065213","pp","208964.PA2612 (pp) 208964.PA3635","false","pp","208964.PA2612 (pp) 208964.PA3635","0.338","0.468",,"0.367",,"0.062","0.776","0.094"
"20622","310.41726906673614","pp","208964.PA2612 (pp) 208964.PA2740","false","pp","208964.PA2612 (pp) 208964.PA2740","0.586","0.376","0.639",,,"0.065","0.948","0.495"
"20623","194.9625992277464","pp","208964.PA2612 (pp) 208964.PA2744","false","pp","208964.PA2612 (pp) 208964.PA2744","0.587","0.554",,"0.229",,"0.066","0.868","0.161"
"20624","841.4289685168069","pp","208964.PA2612 (pp) 208964.PA4238","false","pp","208964.PA2612 (pp) 208964.PA4238","0.095",,,,,"0.049","0.827","0.815"
"20625","153.37479872718257","pp","208964.PA2612 (pp) 208964.PA4240","false","pp","208964.PA2612 (pp) 208964.PA4240","0.144","0.538","0.4",,,"0.05","0.823","0.335"
"20626","172.59107144040692","pp","208964.PA2612 (pp) 208964.PA3834","false","pp","208964.PA2612 (pp) 208964.PA3834","0.393","0.308",,,,"0.047","0.846","0.661"
"20627","429.3388109823531","pp","208964.PA2612 (pp) 208964.PA4243","false","pp","208964.PA2612 (pp) 208964.PA4243","0.251","0.15",,,,,"0.825","0.747"
"20628","176.90215932769235","pp","208964.PA2612 (pp) 208964.PA4560","false","pp","208964.PA2612 (pp) 208964.PA4560","0.436","0.685",,,,"0.081","0.977","0.875"
"20629","1003.7178640964166","pp","208964.PA2612 (pp) 208964.PA4270","false","pp","208964.PA2612 (pp) 208964.PA4270","0.191","0.22",,,,"0.049","0.806","0.715"
"20630","125.9642795948752","pp","208964.PA2612 (pp) 208964.PA5051","false","pp","208964.PA2612 (pp) 208964.PA5051","0.174",,,"0.389",,"0.483","0.946","0.817"
"20631","146.2632257683233","pp","208964.PA2612 (pp) 208964.PA4271","false","pp","208964.PA2612 (pp) 208964.PA4271","0.101","0.154",,,,,"0.806","0.766"
"20632","155.3191159410232","pp","208964.PA2612 (pp) 208964.PA4673","false","pp","208964.PA2612 (pp) 208964.PA4673","0.272","0.247",,,,,"0.892","0.818"
"20633","1286.883570532477","pp","208964.PA2612 (pp) 208964.PA4808","false","pp","208964.PA2612 (pp) 208964.PA4808","0.097",,"0.9",,,,"0.981","0.81"
"20634","1066.5111190263972","pp","208964.PA2612 (pp) 208964.PA5131","false","pp","208964.PA2612 (pp) 208964.PA5131","0.079",,,"0.419",,"0.617","0.782","0.06"
"20635","125.86754381703389","pp","208964.PA2612 (pp) 208964.PA4273","false","pp","208964.PA2612 (pp) 208964.PA4273","0.315","0.378",,,,,"0.849","0.675"
"20636","2.0","pp","208964.PA1767 (pp) 208964.PA1768","false","pp","208964.PA1767 (pp) 208964.PA1768",,"0.773",,,,"0.36","0.849",
"20637","2.0","pp","208964.PA1766 (pp) 208964.PA1767","false","pp","208964.PA1766 (pp) 208964.PA1767","0.077","0.784",,,,"0.845","0.966",
"20638","2.0","pp","208964.PA1766 (pp) 208964.PA1768","false","pp","208964.PA1766 (pp) 208964.PA1768",,"0.768",,,,"0.845","0.963",
"20639","2.0","pp","208964.PA3944 (pp) 208964.PA3945","false","pp","208964.PA3944 (pp) 208964.PA3945",,"0.098",,,,"0.757","0.771",
"20640","188.1093584956041","pp","208964.PA0437 (pp) 208964.PA1574","false","pp","208964.PA0437 (pp) 208964.PA1574",,,"0.962",,,"0.116","0.965",
"20641","902.906006633356","pp","208964.PA0437 (pp) 208964.PA4115","false","pp","208964.PA0437 (pp) 208964.PA4115",,,"0.955",,,,"0.955",
"20642","640.608650856274","pp","208964.PA0437 (pp) 208964.PA4646","false","pp","208964.PA0437 (pp) 208964.PA4646","0.378",,"0.963",,,"0.149","0.985","0.31"
"20643","2799.884202633274","pp","208964.PA2620 (pp) 208964.PA4761","false","pp","208964.PA2620 (pp) 208964.PA4761",,"0.18",,,,"0.058","0.85","0.821"
"20644","7841.248888233752","pp","208964.PA2626 (pp) 208964.PA2629","false","pp","208964.PA2626 (pp) 208964.PA2629","0.18",,,,,"0.65","0.948","0.834"
"20645","4261.690949581362","pp","208964.PA2626 (pp) 208964.PA2740","false","pp","208964.PA2626 (pp) 208964.PA2740","0.203","0.174",,,,"0.049","0.812","0.735"
"20646","4832.759269176235","pp","208964.PA2626 (pp) 208964.PA3743","false","pp","208964.PA2626 (pp) 208964.PA3743","0.175","0.246",,,,"0.089","0.825","0.728"
"20647","3116.321193015836","pp","208964.PA2626 (pp) 208964.PA4665","false","pp","208964.PA2626 (pp) 208964.PA4665","0.505","0.525",,"0.202",,,"0.909","0.57"
"20648","141.23293034272464","pp","208964.PA4808 (pp) 208964.PA4809","false","pp","208964.PA4808 (pp) 208964.PA4809","0.07","0.77",,,,"0.614","0.927","0.221"
"20649","573.465673675208","pp","208964.PA4808 (pp) 208964.PA4810","false","pp","208964.PA4808 (pp) 208964.PA4810",,"0.764",,,,"0.589","0.899",
"20650","1053.9108131917694","pp","208964.PA4808 (pp) 208964.PA4811","false","pp","208964.PA4808 (pp) 208964.PA4811",,"0.773",,,,"0.555","0.899","0.085"
"20651","468.9175606391393","pp","208964.PA4808 (pp) 208964.PA4812","false","pp","208964.PA4808 (pp) 208964.PA4812",,"0.699",,,,"0.374","0.829","0.166"
"20652","516.3454075812173","pp","208964.PA4807 (pp) 208964.PA4808","false","pp","208964.PA4807 (pp) 208964.PA4808","0.122","0.784",,,,"0.845","0.995","0.854"
"20653","1362.6506864664998","pp","208964.PA4807 (pp) 208964.PA4809","false","pp","208964.PA4807 (pp) 208964.PA4809","0.067","0.78",,,,"0.614","0.922","0.135"
"20654","1481.676857239064","pp","208964.PA4807 (pp) 208964.PA4810","false","pp","208964.PA4807 (pp) 208964.PA4810",,"0.775",,,,"0.415","0.867","0.071"
"20655","3309.8210962151334","pp","208964.PA4807 (pp) 208964.PA4811","false","pp","208964.PA4807 (pp) 208964.PA4811",,"0.777",,,,"0.332","0.852","0.089"
"20656","1434.9388085983876","pp","208964.PA4807 (pp) 208964.PA4812","false","pp","208964.PA4807 (pp) 208964.PA4812",,"0.701",,,,"0.374","0.833","0.177"
"20657","575.2815051786199","pp","208964.PA4807 (pp) 208964.PA5051","false","pp","208964.PA4807 (pp) 208964.PA5051","0.745",,,"0.381",,"0.069","0.844","0.065"
"20658","5.333333333333333","pp","208964.PA1548 (pp) 208964.PA1856","false","pp","208964.PA1548 (pp) 208964.PA1856",,"0.563",,,,"0.072","0.869","0.703"
"20659","53.245064821972555","pp","208964.PA1548 (pp) 208964.PA1550","false","pp","208964.PA1548 (pp) 208964.PA1550","0.228","0.64",,,,"0.85","0.955",
"20660","2.0","pp","208964.PA1548 (pp) 208964.PA1551","false","pp","208964.PA1548 (pp) 208964.PA1551","0.259","0.64",,,,"0.832","0.986","0.725"
"20661","397.7993356432613","pp","208964.PA1548 (pp) 208964.PA1552","false","pp","208964.PA1548 (pp) 208964.PA1552",,"0.673",,,,"0.485","0.975","0.862"
"20662","812.019781481875","pp","208964.PA1548 (pp) 208964.PA1553","false","pp","208964.PA1548 (pp) 208964.PA1553",,"0.613",,,,"0.478","0.969","0.861"
"20663","498.5989344446163","pp","208964.PA1548 (pp) 208964.PA1554","false","pp","208964.PA1548 (pp) 208964.PA1554",,"0.571",,,,"0.46","0.963","0.853"
"20664","371.5125271641604","pp","208964.PA1548 (pp) 208964.PA1555","false","pp","208964.PA1548 (pp) 208964.PA1555",,"0.677",,,,"0.285","0.967","0.867"
"20665","698.0431250852967","pp","208964.PA1548 (pp) 208964.PA1556","false","pp","208964.PA1548 (pp) 208964.PA1556",,"0.611",,,,"0.286","0.929","0.765"
"20666","879.938027669428","pp","208964.PA1548 (pp) 208964.PA1557","false","pp","208964.PA1548 (pp) 208964.PA1557",,"0.564",,,,"0.285","0.95","0.853"
"20667","40.66193364957401","pp","208964.PA3725 (pp) 208964.PA4763","false","pp","208964.PA3725 (pp) 208964.PA4763",,"0.235",,"0.197",,"0.331","0.873","0.727"
"20668","241.6614923758081","pp","208964.PA3725 (pp) 208964.PA4232","false","pp","208964.PA3725 (pp) 208964.PA4232",,"0.236",,"0.507",,"0.047","0.829","0.581"
"20669","1339.291564501267","pp","208964.PA3725 (pp) 208964.PA4946","false","pp","208964.PA3725 (pp) 208964.PA4946","0.301","0.19",,"0.203",,"0.068","0.97","0.94"
"20670","4.0","pp","208964.PA3729 (pp) 208964.PA3731","false","pp","208964.PA3729 (pp) 208964.PA3731",,"0.554",,,,"0.578","0.815","0.094"
"20671","53.245064821972555","pp","208964.PA1550 (pp) 208964.PA1551","false","pp","208964.PA1550 (pp) 208964.PA1551","0.463","0.527",,,,"0.832","0.957","0.114"
"20672","3509.5098703560566","pp","208964.PA1550 (pp) 208964.PA1552","false","pp","208964.PA1550 (pp) 208964.PA1552",,"0.625",,,,"0.486","0.805","0.07"
"20673","290.24044166384715","pp","208964.PA1794 (pp) 208964.PA4482","false","pp","208964.PA1794 (pp) 208964.PA4482","0.172",,"0.9",,,"0.042","0.923","0.142"
"20674","311.741403501311","pp","208964.PA1794 (pp) 208964.PA4483","false","pp","208964.PA1794 (pp) 208964.PA4483","0.168",,"0.965","0.152",,,"0.976","0.126"
"20675","970.5564181823996","pp","208964.PA1794 (pp) 208964.PA4484","false","pp","208964.PA1794 (pp) 208964.PA4484","0.075",,"0.965","0.259",,,"0.979","0.245"
"20676","1583.0629070010411","pp","208964.PA1794 (pp) 208964.PA4666","false","pp","208964.PA1794 (pp) 208964.PA4666",,,"0.873",,,,"0.893","0.192"
"20677","118.9797863922247","pp","208964.PA1552 (pp) 208964.PA4133","false","pp","208964.PA1552 (pp) 208964.PA4133",,"0.576","0.605","0.313",,"0.071","0.885","0.093"
"20678","6.833333333333334","pp","208964.PA1552 (pp) 208964.PA1552.1","false","pp","208964.PA1552 (pp) 208964.PA1552.1",,"0.351","0.68",,,"0.112","0.815","0.113"
"20679","46.931893768170134","pp","208964.PA1552 (pp) 208964.PA1553","false","pp","208964.PA1552 (pp) 208964.PA1553","0.301","0.784","0.465",,,"0.076","0.988","0.865"
