"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"29344","6817.164094665855","pp","208964.PA0297 (pp) 208964.PA3373","false","pp","208964.PA0297 (pp) 208964.PA3373",,,"0.799",,,,"0.799",
"29345","967.6824439246378","pp","208964.PA0297 (pp) 208964.PA5035","false","pp","208964.PA0297 (pp) 208964.PA5035",,,"0.873",,,"0.049","0.874",
"29346","812.5710276503421","pp","208964.PA0297 (pp) 208964.PA5036","false","pp","208964.PA0297 (pp) 208964.PA5036",,,"0.873",,,"0.076","0.88","0.061"
"29347","825.9655673221818","pp","208964.PA0297 (pp) 208964.PA3770","false","pp","208964.PA0297 (pp) 208964.PA3770",,,"0.873",,,,"0.873",
"29348","1157.0811564815451","pp","208964.PA0297 (pp) 208964.PA5119","false","pp","208964.PA0297 (pp) 208964.PA5119",,,"0.873",,,"0.077","0.878",
"29349","1709.2721809495372","pp","208964.PA0297 (pp) 208964.PA5336","false","pp","208964.PA0297 (pp) 208964.PA5336",,,"0.873",,,"0.069","0.877",
"29350","3608.0","pp","208964.PA4652 (pp) 208964.PA4653","false","pp","208964.PA4652 (pp) 208964.PA4653","0.136","0.784",,,,"0.851","0.97",
"29351","278.80332590337855","pp","208964.PA0298 (pp) 208964.PA2181","false","pp","208964.PA0298 (pp) 208964.PA2181",,,"0.773",,,,"0.773",
"29352","448.2073670437009","pp","208964.PA0298 (pp) 208964.PA2442","false","pp","208964.PA0298 (pp) 208964.PA2442",,,"0.85",,,,"0.85",
"29353","128.82180201086481","pp","208964.PA0298 (pp) 208964.PA2446","false","pp","208964.PA0298 (pp) 208964.PA2446",,,"0.86",,,,"0.86",
"29354","1481.3342998116016","pp","208964.PA0298 (pp) 208964.PA3134","false","pp","208964.PA0298 (pp) 208964.PA3134",,,"0.8",,,,"0.8",
"29355","349.5125514202244","pp","208964.PA0298 (pp) 208964.PA5213","false","pp","208964.PA0298 (pp) 208964.PA5213",,,"0.816",,,,"0.816",
"29356","1329.8458997639918","pp","208964.PA0298 (pp) 208964.PA0299","false","pp","208964.PA0298 (pp) 208964.PA0299","0.121","0.676","0.153",,,"0.667","0.93","0.259"
"29357","876.7893834249318","pp","208964.PA0298 (pp) 208964.PA0366","false","pp","208964.PA0298 (pp) 208964.PA0366",,,"0.775",,,,"0.775",
"29358","2529.108589207082","pp","208964.PA0298 (pp) 208964.PA0519","false","pp","208964.PA0298 (pp) 208964.PA0519",,,"0.9",,,,"0.9",
"29359","2086.3654297193134","pp","208964.PA0298 (pp) 208964.PA0534","false","pp","208964.PA0298 (pp) 208964.PA0534",,"0.723","0.383",,,,"0.822",
"29360","1494.930376297054","pp","208964.PA0298 (pp) 208964.PA1027","false","pp","208964.PA0298 (pp) 208964.PA1027",,,"0.851",,,,"0.859","0.092"
"29361","303.03839232966277","pp","208964.PA0298 (pp) 208964.PA3068","false","pp","208964.PA0298 (pp) 208964.PA3068",,,"0.964",,,,"0.976","0.355"
"29362","233.66732433969085","pp","208964.PA0298 (pp) 208964.PA1337","false","pp","208964.PA0298 (pp) 208964.PA1337",,,"0.9",,,,"0.9","0.045"
"29363","533.3733327275185","pp","208964.PA0298 (pp) 208964.PA1421","false","pp","208964.PA0298 (pp) 208964.PA1421",,,"0.925",,,,"0.936","0.179"
"29364","23.615494053725566","pp","208964.PA0298 (pp) 208964.PA1566","false","pp","208964.PA0298 (pp) 208964.PA1566",,"0.407","0.816",,,,"0.886",
"29365","939.3168623920424","pp","208964.PA0298 (pp) 208964.PA4007","false","pp","208964.PA0298 (pp) 208964.PA4007",,,"0.8",,,,"0.812","0.098"
"29366","507.4782607500199","pp","208964.PA0298 (pp) 208964.PA3108","false","pp","208964.PA0298 (pp) 208964.PA3108",,,"0.964",,,,"0.965","0.061"
"29367","232.71339438793655","pp","208964.PA0298 (pp) 208964.PA4588","false","pp","208964.PA0298 (pp) 208964.PA4588",,,"0.964",,,,"0.965","0.074"
"29368","620.1200524495423","pp","208964.PA0298 (pp) 208964.PA4756","false","pp","208964.PA0298 (pp) 208964.PA4756",,,"0.91",,,,"0.912","0.062"
"29369","396.6240851676159","pp","208964.PA0298 (pp) 208964.PA3175","false","pp","208964.PA0298 (pp) 208964.PA3175",,,"0.925",,,,"0.925",
"29370","250.16183804979158","pp","208964.PA0298 (pp) 208964.PA5035","false","pp","208964.PA0298 (pp) 208964.PA5035",,,"0.965",,,,"0.971","0.215"
"29371","214.2521090869369","pp","208964.PA0298 (pp) 208964.PA5036","false","pp","208964.PA0298 (pp) 208964.PA5036",,,"0.965",,,,"0.966","0.07"
"29372","316.7700583499262","pp","208964.PA0298 (pp) 208964.PA5119","false","pp","208964.PA0298 (pp) 208964.PA5119",,"0.2","0.902",,,"0.046","0.922","0.074"
"29373","496.8534646265695","pp","208964.PA0298 (pp) 208964.PA5173","false","pp","208964.PA0298 (pp) 208964.PA5173",,,"0.964",,,,"0.964","0.049"
"29374","322.9094865449594","pp","208964.PA0298 (pp) 208964.PA5203","false","pp","208964.PA0298 (pp) 208964.PA5203",,,"0.944",,,,"0.945","0.064"
"29375","102.97636803542248","pp","208964.PA0298 (pp) 208964.PA3356","false","pp","208964.PA0298 (pp) 208964.PA3356","0.125","0.219","0.84",,,,"0.881",
"29376","1929.9152086191316","pp","208964.PA0298 (pp) 208964.PA3366","false","pp","208964.PA0298 (pp) 208964.PA3366",,,"0.779",,,,"0.779",
"29377","568.1705487173322","pp","208964.PA0298 (pp) 208964.PA3602","false","pp","208964.PA0298 (pp) 208964.PA3602",,,"0.779",,,"0.06","0.79","0.07"
"29378","775.532826622644","pp","208964.PA0298 (pp) 208964.PA3759","false","pp","208964.PA0298 (pp) 208964.PA3759",,,"0.776",,,,"0.779","0.054"
"29379","262.9540017959562","pp","208964.PA0298 (pp) 208964.PA5215","false","pp","208964.PA0298 (pp) 208964.PA5215",,,"0.876",,,,"0.876",
"29380","53.13670402135706","pp","208964.PA0298 (pp) 208964.PA5522","false","pp","208964.PA0298 (pp) 208964.PA5522",,"0.416","0.853",,,,"0.91",
"29381","1339.6645947637608","pp","208964.PA0298 (pp) 208964.PA5549","false","pp","208964.PA0298 (pp) 208964.PA5549",,,"0.877",,,,"0.88","0.067"
"29382","828.1621598918516","pp","208964.PA3326 (pp) 208964.PA4385","false","pp","208964.PA3326 (pp) 208964.PA4385","0.109","0.689",,,,,"0.911","0.704"
"29383","27.79674954276411","pp","208964.PA3326 (pp) 208964.PA4542","false","pp","208964.PA3326 (pp) 208964.PA4542",,,,,,,"0.864","0.864"
"29384","2362.45546293493","pp","208964.PA3326 (pp) 208964.PA4761","false","pp","208964.PA3326 (pp) 208964.PA4761",,"0.169",,,,,"0.899","0.884"
"29385","1656.2681922031597","pp","208964.PA0299 (pp) 208964.PA0366","false","pp","208964.PA0299 (pp) 208964.PA0366",,,"0.799",,,,"0.799",
"29386","1995.0707684853564","pp","208964.PA0299 (pp) 208964.PA1027","false","pp","208964.PA0299 (pp) 208964.PA1027",,,"0.972",,,,"0.972",
"29387","1268.8097080301297","pp","208964.PA0299 (pp) 208964.PA1687","false","pp","208964.PA0299 (pp) 208964.PA1687",,,"0.959",,,,"0.961","0.093"
"29388","3489.8045035735104","pp","208964.PA0299 (pp) 208964.PA3166","false","pp","208964.PA0299 (pp) 208964.PA3166",,,,,,"0.049","0.844","0.843"
"29389","873.4770868425132","pp","208964.PA0299 (pp) 208964.PA4519","false","pp","208964.PA0299 (pp) 208964.PA4519",,,"0.964",,,,"0.964",
"29390","1171.7621143689898","pp","208964.PA0299 (pp) 208964.PA4899","false","pp","208964.PA0299 (pp) 208964.PA4899",,,"0.9",,,,"0.9",
"29391","1245.6585301221176","pp","208964.PA0299 (pp) 208964.PA4774","false","pp","208964.PA0299 (pp) 208964.PA4774",,,"0.959",,,,"0.961","0.092"
