"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"22031","749.01828102","pp","1280.SAXN108_0703 (pp) 1280.SAXN108_0707",,"false","pp","1280.SAXN108_0703 (pp) 1280.SAXN108_0707",,"0.71",,"0.182",,,"0.384","0.882","0.293"
"22032","700.56339783","pp","1280.SAXN108_0703 (pp) 1280.SAXN108_1900",,"false","pp","1280.SAXN108_0703 (pp) 1280.SAXN108_1900","0.267",,"0.936","0.373",,,"0.065","0.972","0.139"
"22033","147.72413208","pp","1280.SAXN108_0703 (pp) 1280.SAXN108_0706",,"false","pp","1280.SAXN108_0703 (pp) 1280.SAXN108_0706","0.309","0.782","0.987","0.653",,,"0.419","0.999","0.948"
"22034","2474.76841476","pp","1280.SAXN108_1548 (pp) 1280.SAXN108_2474",,"false","pp","1280.SAXN108_1548 (pp) 1280.SAXN108_2474","0.095",,,"0.285",,,,"0.795","0.71"
"22035","1563.51537885","pp","1280.SAXN108_1549 (pp) 1280.SAXN108_1550",,"false","pp","1280.SAXN108_1549 (pp) 1280.SAXN108_1550",,,,,,,"0.837","0.851","0.124"
"22036","1518.48462115","pp","1280.SAXN108_1549 (pp) 1280.SAXN108_1551",,"false","pp","1280.SAXN108_1549 (pp) 1280.SAXN108_1551",,,,,,,"0.858","0.873","0.141"
"22037","3082.0","pp","1280.SAXN108_1537 (pp) 1280.SAXN108_1538",,"false","pp","1280.SAXN108_1537 (pp) 1280.SAXN108_1538",,,,,,,"0.857","0.857",
"22038","2.0","pp","1280.SAXN108_0685 (pp) 1280.SAXN108_2026",,"false","pp","1280.SAXN108_0685 (pp) 1280.SAXN108_2026",,,,,,,,"0.859","0.859"
"22039","1404.97978513","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_0774",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_0774",,,,,,,"0.042","0.833","0.833"
"22040","1897.91625034","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2750",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2750",,,,,,,,"0.809","0.809"
"22041","6302.79120146","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2309",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2309",,,,,,,,"0.899","0.899"
"22042","2860.82971803","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_1046",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_1046",,,,,,,,"0.806","0.806"
"22043","1536.93922059","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_1158",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_1158",,,,,,,,"0.881","0.881"
"22044","2381.80800979","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_0755",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_0755",,,,,,,,"0.87","0.87"
"22045","3237.92282623","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2640",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2640",,,,,,,,"0.846","0.846"
"22046","4999.77961102","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2543",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2543",,,,,,,,"0.845","0.845"
"22047","2482.07929424","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2939",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2939",,,,,,,,"0.831","0.831"
"22048","1333.57824155","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2938",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_2938",,,,,,,,"0.808","0.808"
"22049","1467.69892644","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_0773",,"false","pp","1280.SAXN108_0683 (pp) 1280.SAXN108_0773",,,,,,,,"0.775","0.775"
"22050","2.0","pp","1280.SAXN108_0681 (pp) 1280.SAXN108_0682",,"false","pp","1280.SAXN108_0681 (pp) 1280.SAXN108_0682",,,,,"0.712",,"0.845","0.953",
"22051","3080.0","pp","1280.SAXN108_0676 (pp) 1280.SAXN108_0714",,"false","pp","1280.SAXN108_0676 (pp) 1280.SAXN108_0714","0.569","0.73","0.164","0.339","0.012",,"0.099","0.941","0.182"
"22052","1807.66044211","pp","1280.SAXN108_0677 (pp) 1280.SAXN108_1801",,"false","pp","1280.SAXN108_0677 (pp) 1280.SAXN108_1801","0.068",,"0.873",,,,"0.356","0.95","0.423"
"22053","3082.0","pp","1280.SAXN108_0677 (pp) 1280.SAXN108_0678",,"false","pp","1280.SAXN108_0677 (pp) 1280.SAXN108_0678","0.063","0.169","0.152",,"0.679",,"0.845","0.961","0.051"
"22054","2.66666667","pp","1280.SAXN108_2851 (pp) 1280.SAXN108_2852",,"false","pp","1280.SAXN108_2851 (pp) 1280.SAXN108_2852",,"0.239",,,,,"0.725","0.807","0.153"
"22055","3082.0","pp","1280.SAXN108_0672 (pp) 1280.SAXN108_0673",,"false","pp","1280.SAXN108_0672 (pp) 1280.SAXN108_0673",,,,,,,"0.876","0.876",
"22056","591.82858124","pp","1280.SAXN108_1514 (pp) 1280.SAXN108_1719",,"false","pp","1280.SAXN108_1514 (pp) 1280.SAXN108_1719",,"0.732","0.262","0.244","0.25",,"0.09","0.908","0.274"
"22057","591.82858124","pp","1280.SAXN108_1514 (pp) 1280.SAXN108_1515",,"false","pp","1280.SAXN108_1514 (pp) 1280.SAXN108_1515","0.112","0.701","0.936","0.244","0.205",,"0.786","0.999","0.977"
"22058","2.66666667","pp","1280.SAXN108_2844 (pp) 1280.SAXN108_2845",,"false","pp","1280.SAXN108_2844 (pp) 1280.SAXN108_2845",,,,,,,"0.845","0.845",
"22059","3075.66666667","pp","1280.SAXN108_2844 (pp) 1280.SAXN108_2846",,"false","pp","1280.SAXN108_2844 (pp) 1280.SAXN108_2846",,,,,,,"0.845","0.845",
"22060","3.66666667","pp","1280.SAXN108_2844 (pp) 1280.SAXN108_2847",,"false","pp","1280.SAXN108_2844 (pp) 1280.SAXN108_2847",,,,,,,"0.845","0.845",
"22061","2677.99052667","pp","1280.SAXN108_1515 (pp) 1280.SAXN108_2614",,"false","pp","1280.SAXN108_1515 (pp) 1280.SAXN108_2614",,"0.619","0.373","0.244","0.094",,"0.129","0.859","0.199"
"22062","762.60493536","pp","1280.SAXN108_1515 (pp) 1280.SAXN108_1718",,"false","pp","1280.SAXN108_1515 (pp) 1280.SAXN108_1718",,"0.723","0.262","0.244","0.14",,"0.252","0.906","0.234"
"22063","3073.66666667","pp","1280.SAXN108_2845 (pp) 1280.SAXN108_2846",,"false","pp","1280.SAXN108_2845 (pp) 1280.SAXN108_2846",,"0.341",,,,,"0.845","0.893",
"22064","2.66666667","pp","1280.SAXN108_2845 (pp) 1280.SAXN108_2847",,"false","pp","1280.SAXN108_2845 (pp) 1280.SAXN108_2847",,"0.185",,,,,"0.845","0.871","0.057"
"22065","4.33333333","pp","1280.SAXN108_2845 (pp) 1280.SAXN108_2848",,"false","pp","1280.SAXN108_2845 (pp) 1280.SAXN108_2848",,"0.412",,,,,"0.704","0.818",
"22066","454.74207094","pp","1280.SAXN108_2840 (pp) 1280.SAXN108_2841",,"false","pp","1280.SAXN108_2840 (pp) 1280.SAXN108_2841",,"0.56",,,,,"0.719","0.919","0.4"
"22067","512.03507693","pp","1280.SAXN108_1518 (pp) 1280.SAXN108_2009",,"false","pp","1280.SAXN108_1518 (pp) 1280.SAXN108_2009",,,,,,,,"0.881","0.881"
"22068","833.74412598","pp","1280.SAXN108_1518 (pp) 1280.SAXN108_2908",,"false","pp","1280.SAXN108_1518 (pp) 1280.SAXN108_2908",,,,,,,,"0.862","0.862"
"22069","1194.78728082","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1518",,"false","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1518","0.076",,,,,,"0.876","0.893","0.146"
