"SUID","400667.A1S_3095","EdgeBetweenness","interaction","name","pp","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"3490","","1556.18551879","pp","272620.KPN_03979 (pp) 272620.KPN_03981","","false","pp","272620.KPN_03979 (pp) 272620.KPN_03981","0.196",,,,,"0.719","0.775","0.086"
"3491","","1410.49583519","pp","272620.KPN_03979 (pp) 272620.KPN_03980","","false","pp","272620.KPN_03979 (pp) 272620.KPN_03980","0.71",,"0.4",,,"0.902","0.983","0.136"
"3492","","964.866416","pp","272620.KPN_03979 (pp) 272620.KPN_04269","","false","pp","272620.KPN_03979 (pp) 272620.KPN_04269","0.07",,"0.805",,,"0.114","0.853","0.194"
"3493","","4388.0","pp","272620.KPN_00227 (pp) 272620.KPN_01992","","false","pp","272620.KPN_00227 (pp) 272620.KPN_01992",,"0.472",,,,,"0.813","0.66"
"3494","","1951.84244627","pp","272620.KPN_00227 (pp) 272620.KPN_01990","","false","pp","272620.KPN_00227 (pp) 272620.KPN_01990",,"0.384","0.9",,,"0.186","0.993","0.87"
"3495","","4735.15267417","pp","272620.KPN_00227 (pp) 272620.KPN_01284","","false","pp","272620.KPN_00227 (pp) 272620.KPN_01284",,,,,,"0.617","0.78","0.45"
"3496","","472.87463061","pp","272620.KPN_02647 (pp) 272620.KPN_03952","","false","pp","272620.KPN_02647 (pp) 272620.KPN_03952","0.079",,"0.873","0.139",,"0.044","0.911","0.222"
"3497","","140.37841692","pp","272620.KPN_02647 (pp) 272620.KPN_03809","","false","pp","272620.KPN_02647 (pp) 272620.KPN_03809",,"0.162","0.9",,,"0.075","0.916",
"3498","","113.60543691","pp","272620.KPN_02647 (pp) 272620.KPN_03792","","false","pp","272620.KPN_02647 (pp) 272620.KPN_03792","0.412","0.386","0.873",,,,"0.962","0.265"
"3499","","148.82836075","pp","272620.KPN_02647 (pp) 272620.KPN_04552","","false","pp","272620.KPN_02647 (pp) 272620.KPN_04552","0.081",,"0.9","0.172",,"0.043","0.919","0.055"
"3500","","257.53464233","pp","272620.KPN_02647 (pp) 272620.KPN_04551","","false","pp","272620.KPN_02647 (pp) 272620.KPN_04551",,,"0.965",,,,"0.966","0.073"
"3501","","224.10991771","pp","272620.KPN_02647 (pp) 272620.KPN_04550","","false","pp","272620.KPN_02647 (pp) 272620.KPN_04550",,,"0.965",,,,"0.966","0.074"
"3502","","187.29152785","pp","272620.KPN_02647 (pp) 272620.KPN_04011","","false","pp","272620.KPN_02647 (pp) 272620.KPN_04011","0.394","0.573","0.9","0.183",,"0.116","0.986","0.413"
"3503","","110.81743012","pp","272620.KPN_02647 (pp) 272620.KPN_04553","","false","pp","272620.KPN_02647 (pp) 272620.KPN_04553","0.072",,"0.9",,,,"0.904","0.047"
"3504","","51.90696079","pp","272620.KPN_02647 (pp) 272620.KPN_02649","","false","pp","272620.KPN_02647 (pp) 272620.KPN_02649","0.824","0.776","0.873",,,"0.845","0.999","0.093"
"3505","","15.16967608","pp","272620.KPN_02647 (pp) 272620.KPN_02648","","false","pp","272620.KPN_02647 (pp) 272620.KPN_02648","0.849","0.783","0.873","0.34",,"0.845","0.999","0.187"
"3506","","69.675115","pp","272620.KPN_03976 (pp) 272620.KPN_04597","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04597","0.095","0.369","0.4","0.426",,"0.068","0.834","0.267"
"3507","","9.62096532","pp","272620.KPN_03976 (pp) 272620.KPN_04596","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04596","0.817","0.189",,"0.999",,"0.113","0.999","0.805"
"3508","","13.62975653","pp","272620.KPN_03976 (pp) 272620.KPN_04594","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04594","0.22","0.256",,"0.964",,"0.068","0.983","0.267"
"3509","","42.01260814","pp","272620.KPN_03976 (pp) 272620.KPN_04571","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04571",,,"0.658","0.504",,,"0.823",
"3510","","4.38120611","pp","272620.KPN_03976 (pp) 272620.KPN_03977","","false","pp","272620.KPN_03976 (pp) 272620.KPN_03977","0.868","0.578","0.649","0.999",,"0.792","0.999","0.91"
"3511","","340.88434608","pp","272620.KPN_03976 (pp) 272620.KPN_04365","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04365","0.417",,,"0.508",,,"0.773","0.272"
"3512","","21.21590707","pp","272620.KPN_03976 (pp) 272620.KPN_04364","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04364","0.757",,"0.78","0.958",,,"0.998","0.092"
"3513","","18.47710595","pp","272620.KPN_03976 (pp) 272620.KPN_04363","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04363","0.726",,"0.649","0.999",,,"0.999","0.237"
"3514","","40.45763016","pp","272620.KPN_03976 (pp) 272620.KPN_04361","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04361","0.483","0.204","0.78","0.998",,,"0.999","0.29"
"3515","","20.70948399","pp","272620.KPN_03976 (pp) 272620.KPN_04360","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04360","0.435",,"0.78","0.999",,,"0.999","0.115"
"3516","","21.76108734","pp","272620.KPN_03976 (pp) 272620.KPN_04231","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04231","0.751",,"0.649","0.998",,"0.061","0.999","0.584"
"3517","","33.53684343","pp","272620.KPN_03976 (pp) 272620.KPN_04106","","false","pp","272620.KPN_03976 (pp) 272620.KPN_04106","0.712",,"0.649","0.998",,,"0.999","0.45"
"3518","","250.84041467","pp","272620.KPN_02645 (pp) 272620.KPN_04011","","false","pp","272620.KPN_02645 (pp) 272620.KPN_04011","0.766","0.174","0.257",,,"0.129","0.937","0.577"
"3519","","776.20757792","pp","272620.KPN_02645 (pp) 272620.KPN_03952","","false","pp","272620.KPN_02645 (pp) 272620.KPN_03952","0.08",,"0.802",,,,"0.819","0.087"
"3520","","527.17878612","pp","272620.KPN_02645 (pp) 272620.KPN_02649","","false","pp","272620.KPN_02645 (pp) 272620.KPN_02649","0.758","0.232","0.9","0.198",,"0.435","0.991","0.094"
"3521","","272.67591319","pp","272620.KPN_02645 (pp) 272620.KPN_02648","","false","pp","272620.KPN_02645 (pp) 272620.KPN_02648","0.422","0.288","0.873",,,"0.435","0.967",
"3522","","127.32267356","pp","272620.KPN_02645 (pp) 272620.KPN_03809","","false","pp","272620.KPN_02645 (pp) 272620.KPN_03809",,,"0.873",,,,"0.937","0.527"
"3523","","509.28793925","pp","272620.KPN_02645 (pp) 272620.KPN_03792","","false","pp","272620.KPN_02645 (pp) 272620.KPN_03792","0.27","0.169","0.9","0.2",,"0.162","0.968","0.353"
"3524","","231.18403566","pp","272620.KPN_02645 (pp) 272620.KPN_02647","","false","pp","272620.KPN_02645 (pp) 272620.KPN_02647","0.737","0.292","0.965","0.204",,"0.485","0.997","0.237"
"3525","","1564.26571695","pp","272620.KPN_02645 (pp) 272620.KPN_04321","","false","pp","272620.KPN_02645 (pp) 272620.KPN_04321",,"0.151","0.873",,,,"0.894","0.095"
"3526","","23.54574912","pp","272620.KPN_03977 (pp) 272620.KPN_04364","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04364","0.899",,"0.649","0.927",,"0.066","0.997","0.085"
"3527","","20.94593092","pp","272620.KPN_03977 (pp) 272620.KPN_04363","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04363","0.318",,"0.649","0.999",,"0.047","0.999","0.333"
"3528","","43.43334212","pp","272620.KPN_03977 (pp) 272620.KPN_04361","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04361","0.862","0.167","0.649","0.996",,"0.044","0.999","0.273"
"3529","","22.76648337","pp","272620.KPN_03977 (pp) 272620.KPN_04360","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04360","0.826",,"0.649","0.999",,,"0.999","0.116"
"3530","","74.38041379","pp","272620.KPN_03977 (pp) 272620.KPN_04358","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04358","0.27","0.155",,"0.504",,,"0.793","0.402"
"3531","","73.80616257","pp","272620.KPN_03977 (pp) 272620.KPN_04597","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04597","0.7",,"0.649","0.437",,"0.071","0.951","0.252"
"3532","","11.74707503","pp","272620.KPN_03977 (pp) 272620.KPN_04596","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04596","0.11","0.209",,"0.603",,"0.095","0.961","0.87"
"3533","","15.91940339","pp","272620.KPN_03977 (pp) 272620.KPN_04594","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04594","0.14","0.252",,"0.964",,"0.082","0.993","0.726"
"3534","","23.83296682","pp","272620.KPN_03977 (pp) 272620.KPN_04231","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04231","0.539",,"0.649","0.999",,"0.483","0.999","0.818"
"3535","","44.6894856","pp","272620.KPN_03977 (pp) 272620.KPN_04571","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04571",,,"0.658","0.504",,"0.061","0.827",
"3536","","35.98822543","pp","272620.KPN_03977 (pp) 272620.KPN_04106","","false","pp","272620.KPN_03977 (pp) 272620.KPN_04106","0.798",,"0.649","0.999",,"0.084","0.999","0.646"
"3537","","2685.5242227","pp","272620.KPN_02888 (pp) 272620.KPN_02892","","false","pp","272620.KPN_02888 (pp) 272620.KPN_02892",,"0.169",,,,"0.828","0.888","0.282"
"3538","","683.9175154","pp","272620.KPN_02888 (pp) 272620.KPN_02891","","false","pp","272620.KPN_02888 (pp) 272620.KPN_02891",,,,,,"0.828","0.828",
"3539","","793.40407377","pp","272620.KPN_02888 (pp) 272620.KPN_02890","","false","pp","272620.KPN_02888 (pp) 272620.KPN_02890",,,,,,"0.837","0.868","0.222"
"3540","","1158.39646419","pp","272620.KPN_02888 (pp) 272620.KPN_03587","","false","pp","272620.KPN_02888 (pp) 272620.KPN_03587",,,"0.669",,,"0.483","0.822",
"3541","","621.95020797","pp","272620.KPN_02888 (pp) 272620.KPN_02889","","false","pp","272620.KPN_02888 (pp) 272620.KPN_02889","0.179",,,,,"0.845","0.953","0.658"
"3542","","185.09934105","pp","272620.KPN_02649 (pp) 272620.KPN_04553","","false","pp","272620.KPN_02649 (pp) 272620.KPN_04553","0.171","0.157","0.9",,,"0.048","0.93","0.114"
"3543","","266.84232013","pp","272620.KPN_02649 (pp) 272620.KPN_04552","","false","pp","272620.KPN_02649 (pp) 272620.KPN_04552","0.171","0.174","0.9",,,"0.049","0.926",
"3544","","349.69556907","pp","272620.KPN_02649 (pp) 272620.KPN_04551","","false","pp","272620.KPN_02649 (pp) 272620.KPN_04551",,"0.174","0.965",,,,"0.97",
"3545","","196.76690607","pp","272620.KPN_02649 (pp) 272620.KPN_03792","","false","pp","272620.KPN_02649 (pp) 272620.KPN_03792","0.189","0.164","0.873",,,"0.324","0.938","0.093"
"3546","","1651.25683004","pp","272620.KPN_02649 (pp) 272620.KPN_03537","","false","pp","272620.KPN_02649 (pp) 272620.KPN_03537",,,"0.805",,,"0.081","0.813",
"3547","","225.58082015","pp","272620.KPN_02649 (pp) 272620.KPN_04011","","false","pp","272620.KPN_02649 (pp) 272620.KPN_04011","0.338","0.161","0.9",,,,"0.948","0.181"
"3548","","623.96560442","pp","272620.KPN_02649 (pp) 272620.KPN_03952","","false","pp","272620.KPN_02649 (pp) 272620.KPN_03952",,,"0.873",,,"0.075","0.878",
"3549","","289.18502241","pp","272620.KPN_02649 (pp) 272620.KPN_04550","","false","pp","272620.KPN_02649 (pp) 272620.KPN_04550",,"0.157","0.965",,,,"0.969",
"3550","","1220.77333954","pp","272620.KPN_02649 (pp) 272620.KPN_03876","","false","pp","272620.KPN_02649 (pp) 272620.KPN_03876",,,,"0.819",,,"0.819",
"3551","","254.48533049","pp","272620.KPN_02649 (pp) 272620.KPN_03809","","false","pp","272620.KPN_02649 (pp) 272620.KPN_03809",,,"0.965",,,"0.052","0.965",
"3552","","558.51827548","pp","272620.KPN_02640 (pp) 272620.KPN_03727","","false","pp","272620.KPN_02640 (pp) 272620.KPN_03727","0.193",,,,,"0.051","0.928","0.913"
"3553","","233.9422362","pp","272620.KPN_02640 (pp) 272620.KPN_03720","","false","pp","272620.KPN_02640 (pp) 272620.KPN_03720","0.176","0.391",,,,"0.049","0.808","0.646"
"3554","","240.43884155","pp","272620.KPN_02640 (pp) 272620.KPN_04366","","false","pp","272620.KPN_02640 (pp) 272620.KPN_04366","0.175","0.411",,,,,"0.926","0.859"
"3555","","373.32171636","pp","272620.KPN_02640 (pp) 272620.KPN_04365","","false","pp","272620.KPN_02640 (pp) 272620.KPN_04365","0.373","0.414",,"0.218",,,"0.892","0.67"
"3556","","294.93534837","pp","272620.KPN_02640 (pp) 272620.KPN_04137","","false","pp","272620.KPN_02640 (pp) 272620.KPN_04137","0.175",,,,,"0.067","0.782","0.74"
"3557","","213.27891821","pp","272620.KPN_02640 (pp) 272620.KPN_04106","","false","pp","272620.KPN_02640 (pp) 272620.KPN_04106","0.176",,,,,"0.066","0.874","0.85"
"3558","","351.64182791","pp","272620.KPN_02640 (pp) 272620.KPN_04105","","false","pp","272620.KPN_02640 (pp) 272620.KPN_04105","0.175","0.256",,,,"0.483","0.974","0.927"
"3559","","434.07539864","pp","272620.KPN_02640 (pp) 272620.KPN_04104","","false","pp","272620.KPN_02640 (pp) 272620.KPN_04104","0.175","0.165",,"0.192",,"0.483","0.969","0.91"
"3560","","278.65783043","pp","272620.KPN_02640 (pp) 272620.KPN_04103","","false","pp","272620.KPN_02640 (pp) 272620.KPN_04103","0.175",,,"0.193",,"0.483","0.945","0.859"
"3561","","138.20083539","pp","272620.KPN_02640 (pp) 272620.KPN_04102","","false","pp","272620.KPN_02640 (pp) 272620.KPN_04102","0.268","0.773","0.593","0.996",,"0.248","0.999","0.965"
"3562","","284.17996006","pp","272620.KPN_02640 (pp) 272620.KPN_03713","","false","pp","272620.KPN_02640 (pp) 272620.KPN_03713","0.176","0.592",,,,"0.049","0.798","0.443"
"3563","","851.15766488","pp","272620.KPN_02640 (pp) 272620.KPN_03437","","false","pp","272620.KPN_02640 (pp) 272620.KPN_03437","0.18","0.381","0.646","0.425",,"0.151","0.932","0.375"
"3564","","268.21177186","pp","272620.KPN_02640 (pp) 272620.KPN_03699","","false","pp","272620.KPN_02640 (pp) 272620.KPN_03699","0.176","0.459",,"0.198",,"0.048","0.788","0.474"
"3565","","566.60784235","pp","272620.KPN_02640 (pp) 272620.KPN_03031","","false","pp","272620.KPN_02640 (pp) 272620.KPN_03031","0.174","0.259",,"0.42",,,"0.815","0.541"
"3566","","2995.08697075","pp","272620.KPN_02640 (pp) 272620.KPN_02641","","false","pp","272620.KPN_02640 (pp) 272620.KPN_02641","0.176",,,,,"0.571","0.77","0.401"
"3567","","234.40140035","pp","272620.KPN_02640 (pp) 272620.KPN_02933","","false","pp","272620.KPN_02640 (pp) 272620.KPN_02933","0.181","0.325",,"0.4",,"0.084","0.893","0.701"
"3568","","106.75114241","pp","272620.KPN_02882 (pp) 272620.KPN_04388","","false","pp","272620.KPN_02882 (pp) 272620.KPN_04388","0.965","0.184","0.782","0.2",,"0.119","0.999","0.836"
"3569","","235.64238445","pp","272620.KPN_02882 (pp) 272620.KPN_04387","","false","pp","272620.KPN_02882 (pp) 272620.KPN_04387","0.95","0.507","0.873","0.51",,"0.214","0.999","0.744"
"3570","","223.12234389","pp","272620.KPN_02882 (pp) 272620.KPN_03983","","false","pp","272620.KPN_02882 (pp) 272620.KPN_03983","0.207","0.223",,,,"0.124","0.847","0.75"
"3571","","356.83815214","pp","272620.KPN_02882 (pp) 272620.KPN_03252","","false","pp","272620.KPN_02882 (pp) 272620.KPN_03252","0.212",,"0.658",,,"0.067","0.784","0.242"
"3572","","921.8139107","pp","272620.KPN_02882 (pp) 272620.KPN_03708","","false","pp","272620.KPN_02882 (pp) 272620.KPN_03708",,,"0.733",,,,"0.77","0.174"
"3573","","87.03931335","pp","272620.KPN_00461 (pp) 272620.KPN_04607","","false","pp","272620.KPN_00461 (pp) 272620.KPN_04607",,"0.506","0.541",,,"0.069","0.803","0.179"
"3574","","437.43926881","pp","272620.KPN_00461 (pp) 272620.KPN_04840","","false","pp","272620.KPN_00461 (pp) 272620.KPN_04840",,"0.202","0.9",,,,"0.92","0.073"
"3575","","333.37783773","pp","272620.KPN_00461 (pp) 272620.KPN_04378","","false","pp","272620.KPN_00461 (pp) 272620.KPN_04378",,,"0.9",,,,"0.9",
"3576","","1270.11674293","pp","272620.KPN_00461 (pp) 272620.KPN_02834","","false","pp","272620.KPN_00461 (pp) 272620.KPN_02834",,,"0.9",,,,"0.911","0.15"
"3577","","170.18488767","pp","272620.KPN_00461 (pp) 272620.KPN_01958","","false","pp","272620.KPN_00461 (pp) 272620.KPN_01958",,"0.25","0.9",,,"0.047","0.926","0.083"
"3578","","960.82937473","pp","272620.KPN_03974 (pp) 272620.KPN_03979","","false","pp","272620.KPN_03974 (pp) 272620.KPN_03979","0.171","0.33","0.9",,,"0.103","0.989","0.82"
"3579","","244.63312266","pp","272620.KPN_02643 (pp) 272620.KPN_03996","","false","pp","272620.KPN_02643 (pp) 272620.KPN_03996","0.109",,"0.965",,,,"0.971","0.153"
"3580","","12.22423503","pp","272620.KPN_02643 (pp) 272620.KPN_03007","","false","pp","272620.KPN_02643 (pp) 272620.KPN_03007",,,"0.873",,,,"0.924","0.429"
"3581","","21.06888604","pp","272620.KPN_02643 (pp) 272620.KPN_03006","","false","pp","272620.KPN_02643 (pp) 272620.KPN_03006",,,"0.873",,,,"0.953","0.645"
"3582","","137.0852906","pp","272620.KPN_02643 (pp) 272620.KPN_03980","","false","pp","272620.KPN_02643 (pp) 272620.KPN_03980",,,"0.666",,,"0.062","0.865","0.604"
"3583","","435.57028379","pp","272620.KPN_02643 (pp) 272620.KPN_04492","","false","pp","272620.KPN_02643 (pp) 272620.KPN_04492",,,"0.873",,,,"0.873",
"3584","","130.20826077","pp","272620.KPN_02643 (pp) 272620.KPN_02657","","false","pp","272620.KPN_02643 (pp) 272620.KPN_02657",,,"0.965",,,,"0.965",
"3585","","300.54302154","pp","272620.KPN_02643 (pp) 272620.KPN_02848","","false","pp","272620.KPN_02643 (pp) 272620.KPN_02848","0.175",,"0.965",,,"0.045","0.976","0.229"
"3586","","100.59995537","pp","272620.KPN_02643 (pp) 272620.KPN_03388","","false","pp","272620.KPN_02643 (pp) 272620.KPN_03388",,,"0.873",,,,"0.873",
"3587","","5.28571429","pp","272620.KPN_01796 (pp) 272620.KPN_04677","","false","pp","272620.KPN_01796 (pp) 272620.KPN_04677",,"0.541","0.541",,,"0.056","0.784",
"3588","","6.16666667","pp","272620.KPN_01796 (pp) 272620.KPN_04676","","false","pp","272620.KPN_01796 (pp) 272620.KPN_04676",,"0.763",,,,"0.267","0.819",
"3589","","911.46467799","pp","272620.KPN_01796 (pp) 272620.KPN_04675","","false","pp","272620.KPN_01796 (pp) 272620.KPN_04675",,"0.773","0.873",,,"0.146","0.973",
"3590","","2627.33372749","pp","272620.KPN_01796 (pp) 272620.KPN_04674","","false","pp","272620.KPN_01796 (pp) 272620.KPN_04674",,"0.781","0.873",,,"0.179","0.976","0.056"
"3591","","22.85871158","pp","272620.KPN_01796 (pp) 272620.KPN_04673","","false","pp","272620.KPN_01796 (pp) 272620.KPN_04673",,"0.767",,,,"0.061","0.772",
"3592","","736.11271285","pp","272620.KPN_01796 (pp) 272620.KPN_04671","","false","pp","272620.KPN_01796 (pp) 272620.KPN_04671",,"0.779",,,,"0.06","0.787","0.056"
"3593","","430.12297708","pp","272620.KPN_01796 (pp) 272620.KPN_04669","","false","pp","272620.KPN_01796 (pp) 272620.KPN_04669",,"0.653","0.873",,,"0.089","0.956",
"3594","","565.64025294","pp","272620.KPN_03975 (pp) 272620.KPN_03977","","false","pp","272620.KPN_03975 (pp) 272620.KPN_03977",,,,,,"0.704","0.815","0.401"
"3595","","500.67195598","pp","272620.KPN_03975 (pp) 272620.KPN_03976","","false","pp","272620.KPN_03975 (pp) 272620.KPN_03976",,,,,,"0.712","0.8","0.334"
"3596","","773.79703236","pp","272620.KPN_01554 (pp) 272620.KPN_02160","","false","pp","272620.KPN_01554 (pp) 272620.KPN_02160","0.109",,"0.82",,,"0.054","0.844","0.094"
"3597","","436.25233909","pp","272620.KPN_01554 (pp) 272620.KPN_03644","","false","pp","272620.KPN_01554 (pp) 272620.KPN_03644",,,"0.541","0.114",,,"0.799","0.546"
"3598","","1287.85971054","pp","272620.KPN_02642 (pp) 272620.KPN_02894","","false","pp","272620.KPN_02642 (pp) 272620.KPN_02894","0.186",,"0.502",,,"0.061","0.854","0.662"
"3599","","616.50835664","pp","272620.KPN_02642 (pp) 272620.KPN_04137","","false","pp","272620.KPN_02642 (pp) 272620.KPN_04137","0.192",,"0.689",,,"0.047","0.771","0.158"
"3600","","251.39908564","pp","272620.KPN_02642 (pp) 272620.KPN_03996","","false","pp","272620.KPN_02642 (pp) 272620.KPN_03996","0.144",,"0.965",,,"0.042","0.972","0.147"
"3601","","304.39898296","pp","272620.KPN_02642 (pp) 272620.KPN_03980","","false","pp","272620.KPN_02642 (pp) 272620.KPN_03980","0.393",,"0.664",,,"0.066","0.882","0.453"
"3602","","201.23129835","pp","272620.KPN_02642 (pp) 272620.KPN_02848","","false","pp","272620.KPN_02642 (pp) 272620.KPN_02848","0.08",,"0.965",,,,"0.967","0.056"
"3603","","1450.89152444","pp","272620.KPN_02642 (pp) 272620.KPN_04492","","false","pp","272620.KPN_02642 (pp) 272620.KPN_04492",,,"0.873",,,,"0.873",
"3604","","121.98047617","pp","272620.KPN_02642 (pp) 272620.KPN_03388","","false","pp","272620.KPN_02642 (pp) 272620.KPN_03388","0.078",,"0.873",,,"0.067","0.891","0.119"
"3605","","77.62710542","pp","272620.KPN_02642 (pp) 272620.KPN_03007","","false","pp","272620.KPN_02642 (pp) 272620.KPN_03007",,,"0.873","0.201",,"0.13","0.965","0.646"
"3606","","48.30876248","pp","272620.KPN_02642 (pp) 272620.KPN_03006","","false","pp","272620.KPN_02642 (pp) 272620.KPN_03006",,,"0.873",,,,"0.922","0.411"
"3607","","292.69666577","pp","272620.KPN_02642 (pp) 272620.KPN_02657","","false","pp","272620.KPN_02642 (pp) 272620.KPN_02657",,,"0.965",,,,"0.965",
"3608","","64.18457378","pp","272620.KPN_02642 (pp) 272620.KPN_02643","","false","pp","272620.KPN_02642 (pp) 272620.KPN_02643","0.79","0.784","0.873","0.999",,"0.57","0.999","0.972"
"3609","","117.01268679","pp","272620.KPN_03730 (pp) 272620.KPN_03836","","false","pp","272620.KPN_03730 (pp) 272620.KPN_03836",,"0.395","0.873",,,"0.052","0.985","0.822"
"3610","","706.73809381","pp","272620.KPN_02641 (pp) 272620.KPN_03343","","false","pp","272620.KPN_02641 (pp) 272620.KPN_03343","0.181","0.744","0.9","0.206",,,"0.997","0.825"
"3611","","707.60606033","pp","272620.KPN_02641 (pp) 272620.KPN_03342","","false","pp","272620.KPN_02641 (pp) 272620.KPN_03342","0.165","0.762","0.952",,,,"0.991","0.173"
"3612","","354.33426959","pp","272620.KPN_02641 (pp) 272620.KPN_04428","","false","pp","272620.KPN_02641 (pp) 272620.KPN_04428","0.078","0.742","0.438","0.118",,,"0.965","0.747"
"3613","","741.26829875","pp","272620.KPN_02641 (pp) 272620.KPN_04331","","false","pp","272620.KPN_02641 (pp) 272620.KPN_04331","0.178","0.646","0.873","0.131",,,"0.979","0.453"
"3614","","295.59939736","pp","272620.KPN_02641 (pp) 272620.KPN_04329","","false","pp","272620.KPN_02641 (pp) 272620.KPN_04329","0.174","0.586",,,,,"0.877","0.67"
"3615","","2.0","pp","272620.KPN_04616 (pp) 272620.KPN_04617","","false","pp","272620.KPN_04616 (pp) 272620.KPN_04617","0.455","0.77","0.663","0.719",,"0.845","0.999","0.91"
"3616","","272.87660558","pp","272620.KPN_03767 (pp) 272620.KPN_04228","","false","pp","272620.KPN_03767 (pp) 272620.KPN_04228",,,"0.658","0.415",,,"0.832","0.226"
"3617","","304.9900279","pp","272620.KPN_02678 (pp) 272620.KPN_04143","","false","pp","272620.KPN_02678 (pp) 272620.KPN_04143","0.732",,,,,"0.112","0.826","0.326"
"3618","","148.67734244","pp","272620.KPN_02678 (pp) 272620.KPN_03057","","false","pp","272620.KPN_02678 (pp) 272620.KPN_03057",,"0.647","0.575","0.4",,,"0.902",
"3619","","21.3964768","pp","272620.KPN_00018 (pp) 272620.KPN_03726","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03726","0.189",,"0.659","0.999",,"0.06","0.999","0.383"
"3620","","26.0592136","pp","272620.KPN_00018 (pp) 272620.KPN_03720","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03720","0.681",,"0.659","0.999",,"0.083","0.999","0.085"
"3621","","44.23088488","pp","272620.KPN_00018 (pp) 272620.KPN_03719","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03719","0.329","0.164",,"0.999",,"0.103","0.999","0.297"
"3622","","33.26035048","pp","272620.KPN_00018 (pp) 272620.KPN_03718","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03718","0.445",,,"0.999",,"0.102","0.999","0.364"
"3623","","8.97012422","pp","272620.KPN_00018 (pp) 272620.KPN_03717","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03717","0.375",,,"0.999",,"0.083","0.999","0.663"
"3624","","66.31589397","pp","272620.KPN_00018 (pp) 272620.KPN_03716","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03716","0.298",,,"0.999",,"0.103","0.999","0.378"
"3625","","48.88167146","pp","272620.KPN_00018 (pp) 272620.KPN_03715","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03715","0.27",,"0.659","0.999",,"0.084","0.999","0.193"
"3626","","19.77571578","pp","272620.KPN_00018 (pp) 272620.KPN_03714","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03714","0.381","0.17",,"0.999",,"0.084","0.999","0.163"
"3627","","44.31036562","pp","272620.KPN_00018 (pp) 272620.KPN_03713","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03713","0.32",,"0.659","0.999",,"0.104","0.999","0.402"
"3628","","31.08918728","pp","272620.KPN_00018 (pp) 272620.KPN_03712","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03712","0.271",,,"0.999",,"0.084","0.999","0.374"
"3629","","8.059442","pp","272620.KPN_00018 (pp) 272620.KPN_03711","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03711","0.442",,,"0.504",,,"0.834","0.447"
"3630","","11.21926941","pp","272620.KPN_00018 (pp) 272620.KPN_03710","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03710","0.457",,"0.659","0.999",,"0.084","0.999","0.645"
"3631","","23.63574058","pp","272620.KPN_00018 (pp) 272620.KPN_03709","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03709","0.268",,,"0.999",,"0.092","0.999","0.439"
"3632","","19.15360998","pp","272620.KPN_00018 (pp) 272620.KPN_03708","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03708","0.176",,,"0.999",,"0.091","0.999","0.138"
"3633","","52.11860481","pp","272620.KPN_00018 (pp) 272620.KPN_03707","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03707","0.196",,,"0.999",,"0.195","0.999","0.391"
"3634","","13.05115353","pp","272620.KPN_00018 (pp) 272620.KPN_03706","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03706","0.271",,"0.659","0.999",,"0.094","0.999","0.483"
"3635","","57.01795467","pp","272620.KPN_00018 (pp) 272620.KPN_03705","","false","pp","272620.KPN_00018 (pp) 272620.KPN_03705","0.292","0.15","0.659","0.999",,"0.096","0.999","0.279"
