"SUID","400667.A1S_3095","EdgeBetweenness","interaction","name","pp","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"1519","","4684.01082968","pp","272620.KPN_00817 (pp) 272620.KPN_01274","","false","pp","272620.KPN_00817 (pp) 272620.KPN_01274","0.196",,"0.965",,,,"0.98","0.358"
"1520","","2.0","pp","272620.KPN_00816 (pp) 272620.KPN_00818","","false","pp","272620.KPN_00816 (pp) 272620.KPN_00818","0.441","0.721",,,,"0.845","0.974",
"1521","","2194.0","pp","272620.KPN_00816 (pp) 272620.KPN_00817","","false","pp","272620.KPN_00816 (pp) 272620.KPN_00817","0.681","0.733",,,,"0.845","0.986","0.095"
"1522","","328.91344929","pp","272620.KPN_00613 (pp) 272620.KPN_02663","","false","pp","272620.KPN_00613 (pp) 272620.KPN_02663",,"0.218","0.666",,,"0.121","0.8","0.232"
"1523","","269.55637874","pp","272620.KPN_00613 (pp) 272620.KPN_00615","","false","pp","272620.KPN_00613 (pp) 272620.KPN_00615","0.82",,,"0.415",,"0.063","0.958","0.625"
"1524","","106.04841729","pp","272620.KPN_00613 (pp) 272620.KPN_00614","","false","pp","272620.KPN_00613 (pp) 272620.KPN_00614","0.913","0.726","0.666","0.473",,"0.393","0.999","0.821"
"1525","","3173.55616564","pp","272620.KPN_00613 (pp) 272620.KPN_01091","","false","pp","272620.KPN_00613 (pp) 272620.KPN_01091",,,"0.805",,,"0.084","0.814",
"1526","","1072.85317393","pp","272620.KPN_00612 (pp) 272620.KPN_02888","","false","pp","272620.KPN_00612 (pp) 272620.KPN_02888",,,"0.873",,,,"0.873",
"1527","","550.47752877","pp","272620.KPN_00612 (pp) 272620.KPN_02663","","false","pp","272620.KPN_00612 (pp) 272620.KPN_02663",,,,,,"0.411","0.773","0.63"
"1528","","165.38193018","pp","272620.KPN_00612 (pp) 272620.KPN_00615","","false","pp","272620.KPN_00612 (pp) 272620.KPN_00615","0.75",,,,,"0.822","0.972","0.421"
"1529","","122.37771589","pp","272620.KPN_00612 (pp) 272620.KPN_00614","","false","pp","272620.KPN_00612 (pp) 272620.KPN_00614","0.9","0.779","0.9","0.465",,"0.816","0.999","0.819"
"1530","","160.4090435","pp","272620.KPN_00612 (pp) 272620.KPN_00613","","false","pp","272620.KPN_00612 (pp) 272620.KPN_00613","0.913","0.641","0.873","0.797",,"0.398","0.999","0.836"
